time_in_2012,time_in_2013,time_in_2014,time_in_2015,AGE,GENDER,id
15601,14628,14858,15666,57,1,651
15889,16095,15973,16765,57,1,652
11702,14541,13829,11400,36,1,653
12383,14152,15223,12789,36,1,654
14086,13744,14104,12848,21,1,655
11917,11651,11139,12845,44,1,656
12782,12288,12827,12792,32,1,657
14032,14100,14002,13704,37,-1,658
12032,12331,13292,13722,26,1,659
13533,14235,14925,15252,27,1,660
19916,21600,19997,20332,52,1,661
14423,14365,14222,13938,27,1,662
15888,15451,16368,16042,37,-1,663
15734,16784,18740,17966,35,-1,664
16223,15427,14711,14957,44,1,665
15538,14423,14100,13757,32,1,666
18923,16926,18570,23932,48,-1,667
14497,18064,19766,18369,21,1,668
10450,9929,10175,9350,40,1,669
14714,13992,13818,14850,56,1,670
13563,13651,14760,13443,29,1,671
13970,14299,14896,14615,27,1,672
13252,17008,14666,13316,45,1,673
15372,14830,16160,14410,43,1,674
15033,15062,15642,14086,32,1,675
21600,10115,9994,13335,36,1,676
11609,11496,10816,11233,39,1,677
18339,16783,16985,17412,47,1,678
11737,12831,12439,11551,54,1,679
18548,18358,18213,19444,16,1,680
17193,16505,17580,16316,46,-1,681
16309,15850,16545,17283,47,-1,682
16232,15194,15591,16069,42,1,683
14965,12878,12061,21600,41,1,684
15208,15637,15571,16390,21,-1,685
15119,15974,14679,16071,42,1,686
11115,10714,10161,11192,29,1,687
13413,13421,13351,13521,57,1,688
11736,10926,11589,12230,37,1,689
17068,15712,21600,16270,40,1,690
14341,13140,14256,13876,26,1,691
19416,18207,18964,17834,21,-1,692
15545,15946,14917,14670,47,1,693
19069,18646,19236,19214,27,1,694
12891,13036,12370,12564,27,1,695
21481,21542,22361,21178,27,1,696
23400,23277,24594,23958,32,-1,697
11466,10895,12290,11644,37,1,698
10194,9951,13146,10123,25,1,699
17103,18393,16618,17941,29,1,700
14545,14954,15632,13830,32,1,701
15559,14407,14868,15312,34,1,702
16982,16707,17142,17296,27,-1,703
13708,14414,14330,14673,40,1,704
12679,13360,21600,16988,27,1,705
12540,13065,13081,13328,37,1,706
16548,16357,17884,17446,37,1,707
13524,17242,16929,17956,43,1,708
14485,13862,13638,15023,36,1,709
13883,14122,14333,13312,21,-1,710
14280,12573,14869,11781,26,1,711
17752,18146,18960,18046,37,1,712
16833,16607,16691,17205,42,1,713
17201,16232,16296,17645,21,1,714
14515,13488,14992,13990,21,1,715
12827,13138,11808,12688,30,1,716
16556,15610,16665,16165,52,1,717
12839,12148,11765,11260,32,1,718
13616,13320,14633,14909,46,1,719
19726,18695,18672,18579,27,1,720
14097,17378,15268,14062,54,1,721
15224,14262,21323,15958,34,-1,722
15352,15864,15352,15554,52,1,723
15734,21600,16368,14146,46,1,724
14366,15550,15192,14440,52,1,725
18701,18583,18642,18514,32,1,726
14914,14341,14213,15622,42,1,727
12981,13865,13198,13835,42,1,728
14143,14100,13707,14445,37,1,729
13608,14618,14225,14158,52,1,730
14540,13995,13733,13109,21,1,731
17255,17380,16170,16708,47,1,732
14052,13192,13681,13385,21,1,733
15514,14114,19037,14207,35,1,734
12335,13182,12271,12767,37,1,735
12370,16944,11741,11892,44,1,736
13680,13988,13179,14560,32,-1,737
12672,16707,19007,15754,31,1,738
19912,19204,19384,20676,27,1,739
13642,13365,13252,16081,38,1,740
22318,23955,23502,22886,32,-1,741
37047,36803,37397,36816,37,-1,742
20466,21875,21068,21182,52,1,743
21600,14887,19040,18862,33,1,744
19740,17124,17101,18043,40,1,745
17699,17557,16814,18679,32,1,746
14228,14155,15463,14818,27,1,747
16996,20025,18844,21600,40,1,748
15277,14529,15857,15071,32,1,749
17394,18095,17779,17654,27,-1,750
15043,17246,16091,16565,44,1,751
13088,12553,14544,13247,27,-1,752
12063,21600,15711,12448,44,1,753
15102,13449,13349,17793,44,1,754
18549,19932,19185,19365,67,-1,755
25312,26009,24588,25348,37,-1,756
11213,11121,11941,11494,37,1,757
14139,21600,17458,17430,46,-1,758
13385,13209,13881,12900,42,1,759
15947,15562,15438,16413,57,1,760
17119,14039,15435,14573,37,1,761
