time_in_2012,time_in_2013,time_in_2014,AGE,GENDER
17699,17557,16814,32,1
14228,14155,15463,27,1
15102,13449,13349,44,1
13385,13209,13881,42,1
15947,15562,15438,57,1
13912,13768,12991,47,1
18350,18989,18306,34,-1
21054,20609,20807,0,0
24056,22600,22531,62,1
12711,12944,13363,42,1
17285,16820,17594,23,1
18955,19765,18316,45,1
16764,16577,18000,27,-1
17384,16725,17866,37,-1
21083,23272,21043,33,1
18770,19540,20078,27,1
14685,13862,19307,55,1
13649,13756,12429,46,1
12354,13300,13509,36,1
19457,19488,19376,47,-1
13051,13535,13229,35,-1
18149,20183,19660,36,-1
14866,16148,16627,47,1
16623,16122,16658,42,1
10148,9766,9305,32,1
14056,12900,14186,52,1
14856,15171,13792,42,1
20580,20459,20307,21,-1
18000,15545,18505,57,1
16244,16998,16026,27,1
14828,14593,15022,27,1
18279,17783,18581,27,-1
18055,16193,18070,24,1
18156,18096,18486,21,1
22298,13802,21600,28,1
19557,18514,17991,57,1
15715,15868,15064,21,1
12407,12891,13069,21,1
20207,20549,20327,47,1
22067,22548,21423,21,1
18461,18248,17471,27,-1
12654,21600,15104,45,-1
17414,18445,17437,27,1
22475,21141,21999,32,1
14528,13926,14372,42,1
15255,15391,14865,52,-1
16548,17452,17565,39,-1
15329,15690,14358,37,1
16609,16441,16762,42,1
16033,15731,15380,42,-1
13250,13768,14503,50,1
19679,19056,19643,27,-1
19751,19899,18355,32,-1
17883,16964,17506,47,-1
21446,21640,21716,27,1
17282,16623,17115,57,1
12511,13114,13081,37,1
14375,13535,15224,27,-1
15680,15245,14938,42,1
16252,16960,15796,37,1
22379,21489,21810,52,1
22586,22072,22619,32,-1
15224,15585,17199,45,1
19873,20280,20686,23,-1
13087,13805,12024,52,1
22187,22980,21303,37,1
20852,20000,20911,37,-1
10639,10458,10330,21,1
18769,20205,20173,54,1
16594,16676,16700,21,-1
14644,14236,15337,34,-1
18188,16670,19238,31,-1
21356,21128,21656,37,1
18202,16222,17619,47,-1
16775,17147,16855,42,1
14708,15413,14699,37,-1
23445,23785,23781,32,-1
16361,17159,18108,21,1
12304,12061,11589,46,1
15475,15266,14250,37,1
18140,16952,17236,52,-1
19837,18356,19276,27,1
18299,19071,17859,32,-1
18427,17338,19000,42,-1
11556,10905,12108,37,1
19765,18736,19370,52,-1
18399,17354,18799,27,1
16973,17864,16361,46,-1
13093,14528,14803,32,-1
16405,15629,16802,47,1
23451,24903,24674,52,-1
19223,21600,19228,37,1
16800,15934,17528,42,1
18220,18507,18357,36,1
18297,18151,17396,37,-1
16942,16876,16309,37,1
16230,14968,15816,27,1
11054,12523,11620,36,1
18141,18471,18601,21,1
22041,21670,20862,52,1
16442,21600,16067,45,1
18383,17186,18712,32,1
16984,17138,16019,44,1
12239,12078,11447,61,1
16267,16964,15564,32,1
11186,11259,11091,42,1
10774,11146,10802,47,1
18207,18495,17098,42,1
19330,20145,19157,27,1
14332,15332,15730,34,1
14451,14505,13002,32,1
16039,17443,15962,32,1
16094,16134,15793,27,-1
16533,16466,14527,56,-1
15220,14984,15431,26,-1
17781,19301,17597,42,-1
13674,14664,14074,27,-1
18402,18768,17884,21,1
9988,9365,10243,32,1
11161,16323,12871,42,1
15396,14458,15689,43,1
12182,13538,12000,21,1
20356,20626,20775,42,1
16747,16606,17929,37,1
21559,19696,22572,36,1
14184,13026,14738,16,1
15319,14504,14281,45,-1
20726,21246,21271,27,-1
12721,12793,13256,42,1
13103,13886,14741,26,1
18564,14008,12993,54,1
13265,12346,13696,54,1
15560,18388,16072,53,-1
15637,14029,13862,54,1
20641,16658,21600,23,1
18948,17481,18580,32,-1
21133,21850,21202,21,1
13052,13759,12287,32,1
16861,17593,16155,47,1
13247,14482,14427,52,1
11707,12749,11283,35,1
13865,14370,13991,32,1
19680,19246,19587,32,1
20711,20199,21072,37,1
16239,15947,17079,16,1
21333,22044,20257,62,1
18205,17425,17879,37,1
15643,16935,16217,42,-1
14564,13945,13843,27,-1
13248,12335,13735,27,1
19107,19501,21600,42,-1
11432,10578,11238,46,1
13631,14498,14643,36,1
13833,13411,12841,37,-1
18019,17225,18174,27,-1
17280,17441,16866,45,1
17508,18531,16991,62,1
14778,14517,15321,42,1
15380,15623,17745,41,1
13353,12996,11637,11,1
14361,13812,13342,42,1
20256,19645,20321,67,1
18112,16275,18548,50,-1
16958,16094,16726,54,1
12947,12419,12429,36,-1
11869,12419,12763,27,1
14735,13669,15690,21,1
21435,23027,21159,32,1
13003,13275,12295,42,1
20835,20263,22074,37,1
19436,18726,20036,42,1
10772,11949,10411,37,1
12900,14775,14319,46,1
12780,12720,13258,47,1
17030,18437,16543,37,-1
14389,14957,13230,44,1
21999,21454,21692,42,1
15900,16264,15811,44,-1
11632,12441,12249,32,1
16603,16403,17322,47,1
17945,18951,17439,24,1
19906,20205,19415,52,1
14193,15869,15739,22,1
12175,12808,13663,42,1
22411,21593,22271,42,1
13862,12826,12712,35,1
17520,18053,16612,36,1
20554,20176,23983,53,1
23385,23857,23491,31,-1
15998,15840,16651,47,1
11382,12605,12631,42,1
21421,18317,23187,30,1
15697,16916,15734,37,-1
15086,14623,14181,57,1
13898,14222,15527,27,1
16007,16363,15280,46,1
12767,12767,12198,32,1
18150,19101,18844,42,1
16477,16484,16497,52,1
18629,19422,18027,47,-1
12962,11939,12357,47,1
13814,13438,14339,24,1
15942,18055,18727,29,1
19909,19544,19278,27,1
12726,13500,12928,52,1
14540,15539,14220,42,1
15547,15004,15646,36,1
14428,14979,13975,42,1
12039,11692,11088,42,1
21875,13353,16748,31,-1
15064,14930,16553,42,1
14568,14057,14274,22,-1
14056,15027,13965,46,1
12986,13349,14229,42,1
17503,21600,16221,37,-1
14523,21600,22668,47,-1
18360,19658,19777,17,1
25133,25835,24336,57,-1
13001,17090,13928,52,1
16518,14996,15699,32,-1
12559,13584,14114,57,1
18297,18022,17802,42,-1
12464,12815,12512,27,1
18855,20124,18902,37,-1
14175,13543,13744,52,1
22415,20942,22462,52,-1
18877,17472,18338,42,-1
15955,15688,15625,21,-1
21211,22109,21180,37,-1
23874,24299,23711,32,-1
20431,21686,21349,47,1
19054,20190,18595,32,-1
18780,19001,17486,62,1
25044,24896,26166,37,1
15383,16224,14898,32,-1
15586,15116,15664,27,-1
16031,16431,16660,32,1
12399,13442,13996,47,1
16214,15228,14617,42,1
17205,15866,15998,46,1
17091,17865,18029,36,1
16895,17279,16042,32,1
13814,12715,12617,47,1
14792,15474,15153,27,1
16833,18106,17390,32,-1
20850,22164,21600,21,1
15515,14008,14265,55,1
18555,17837,16478,49,1
13396,13582,12687,34,-1
14827,14975,15005,42,1
18796,18348,19458,47,1
12516,13366,12278,52,1
23071,23711,23658,52,1
16948,16654,17807,27,-1
15081,14355,13713,42,-1
14237,13094,14932,37,1
15376,15929,15271,34,-1
16721,16963,16347,21,-1
16780,17232,17357,17,-1
18716,18854,19167,22,1
16986,17271,13171,38,1
18028,18155,16887,47,1
13552,13222,14236,37,1
24341,23489,24046,27,-1
16999,16171,16517,27,1
15402,15138,15466,35,-1
20869,19374,20192,21,1
13444,13350,13524,42,1
18715,16468,17961,25,-1
20960,22069,20717,21,-1
12241,11911,13290,27,1
17933,18243,18743,27,-1
16131,15808,14723,34,1
12682,11959,12106,47,1
14984,13511,14468,36,1
18878,15322,20640,36,1
19784,20571,20775,52,1
15055,19632,13852,34,-1
18169,17634,17503,42,1
14969,13618,13602,32,1
17559,18528,17538,52,1
24387,24720,24373,52,1
17516,15808,15993,42,-1
15662,16300,15266,21,1
18357,15070,17326,37,-1
13474,12566,12977,44,1
14579,16330,14480,52,-1
19707,20356,20259,46,1
20514,19845,20313,42,-1
13248,13237,13279,41,1
16173,17442,16743,52,1
14709,15186,14140,26,1
15648,15056,15950,37,-1
10244,10816,10128,32,1
13285,16024,14102,50,1
13022,13087,13912,21,1
20783,20115,20722,37,1
16658,17492,16786,55,1
21575,21912,19773,21,1
12207,13413,13958,37,1
15610,17355,14015,64,1
14482,14804,13951,68,1
22605,21808,22593,52,-1
17908,17473,17793,27,-1
19666,19574,18639,27,-1
11251,10463,11774,32,1
15637,15820,17074,30,-1
14047,17532,19133,29,1
15488,16626,17339,37,-1
10584,10910,10421,32,1
13358,14095,14310,32,1
19969,19408,19096,27,-1
19653,20668,19019,42,1
15138,14284,13800,36,-1
22148,22196,21160,47,-1
19519,19962,19910,47,1
24401,23853,24677,32,1
15405,16318,17027,37,-1
15096,14999,15866,29,1
13480,13735,14465,17,1
14176,13689,13558,50,-1
15602,15960,14668,37,1
20402,21742,20084,37,-1
13369,12453,13143,52,1
16020,16880,16808,57,1
17337,16738,16575,37,1
20308,19257,19146,27,1
13699,14106,14683,42,-1
12891,12799,13454,42,1
18984,16340,19507,54,1
18460,17553,17115,32,-1
11923,14031,11164,49,1
21889,21048,20500,37,1
19203,18343,19336,19,-1
20402,19144,19005,57,1
9277,8845,9059,37,1
23116,22931,22706,57,1
25111,24739,25120,42,-1
14191,13782,14081,37,-1
11300,12882,12783,21,1
17088,16797,18275,46,-1
22649,22875,22270,32,1
16817,15260,15175,36,-1
10572,9276,9988,26,1
23371,23892,23627,32,1
12766,13273,12509,27,1
12938,12033,11572,32,1
16400,14947,15911,52,1
14191,14878,14510,37,1
13234,14446,14557,37,1
13573,12813,12600,46,-1
19194,20167,19180,16,-1
16099,16591,16587,42,1
15753,15584,15642,57,-1
18185,17559,18845,54,1
22101,21583,23004,32,-1
12103,11531,11037,27,1
15536,14038,15378,21,1
13570,14213,14096,47,1
14038,13065,12761,47,1
11644,12827,13462,47,1
17279,18703,19078,52,1
14691,14271,15799,21,-1
19565,18277,19757,27,1
17932,18216,16971,44,1
14764,13524,13324,27,1
15535,15797,14500,42,-1
24362,23397,23009,52,1
12566,11370,10986,54,1
14357,14650,15634,37,-1
14057,14760,15053,47,-1
13264,21600,12922,44,1
15972,14595,14410,47,1
20127,19808,19517,37,-1
12385,11904,12229,44,1
20848,22075,22280,21,1
14880,13976,13377,47,1
13725,14564,14550,41,-1
14869,14730,14536,37,1
21377,21973,21272,37,-1
21206,19989,19840,67,1
17096,15225,14622,66,1
14663,15054,15387,37,-1
16878,16113,15914,62,1
13135,11956,13731,36,1
16374,13657,13143,60,1
10765,11661,12594,36,1
17436,21600,19728,39,-1
13905,13917,15073,42,1
17758,19032,17202,27,-1
21259,21097,20991,47,1
12270,12479,13134,42,1
16670,16461,16773,27,-1
20580,16992,23563,63,1
20016,21241,20405,47,1
16238,17032,16482,47,1
12942,13736,12266,36,-1
21400,19858,20208,32,1
15237,15446,14533,56,1
14586,14904,15092,32,-1
21425,20994,20609,32,-1
18607,18923,17874,47,1
18107,18598,19593,62,1
20489,20169,19440,52,1
12199,14257,15927,35,1
13449,14976,15973,46,1
12919,13014,13890,47,1
14545,13349,14171,32,1
14020,14775,13541,16,1
16561,17941,17336,32,1
16840,15654,15872,21,1
18067,17945,18935,21,1
20501,21148,20954,42,1
15615,14113,15281,27,1
17527,16437,17182,27,-1
14506,18279,16856,36,1
18537,18065,18521,37,1
19202,18827,18078,46,1
13707,13234,12207,47,-1
11989,12013,12648,25,-1
14918,14572,13625,50,1
17975,16877,18047,54,1
16567,16792,23798,40,1
16405,16059,16773,47,-1
19694,17141,20210,32,1
15033,15655,15368,52,1
17607,16172,17852,47,1
20890,21428,20953,37,-1
15349,13244,17029,45,1
24144,24192,23431,32,-1
18479,18833,18091,47,-1
14132,13804,13268,32,1
18119,18097,18746,67,1
18582,18595,19568,26,-1
13091,13612,15673,42,1
20531,20579,21451,32,1
11760,11481,12357,42,1
19375,18970,19682,32,1
14514,13753,14871,27,1
18411,16982,17025,42,1
13890,13195,13344,27,-1
17984,18416,19559,27,-1
25445,24035,24507,52,-1
14288,14833,14373,27,1
14199,17977,14668,46,1
20028,18783,19143,67,1
20938,20555,20605,47,-1
19692,20473,19517,42,-1
14681,15580,14015,32,1
16235,15095,15260,42,1
12475,13413,13932,52,1
17797,17953,18131,27,1
16127,15933,15846,52,-1
19752,21091,19543,32,1
16736,17233,16745,47,1
15043,16497,14927,47,-1
18661,18826,18846,57,1
22242,20618,21359,34,1
21252,21053,21877,21,1
14836,14669,15236,42,-1
13177,13062,13342,44,1
15689,14339,14932,42,1
18764,18387,19118,37,1
17256,16790,18030,47,-1
14026,13381,13111,43,1
17550,17539,17808,46,1
16403,16361,15443,42,1
15525,14797,15685,37,-1
17437,16900,18393,27,1
14098,15425,14281,27,-1
10891,11601,10749,42,1
15014,13042,14236,36,1
19008,19796,19538,36,1
16918,17300,17360,42,-1
13404,16295,14553,40,1
12281,11984,12646,52,1
14803,13670,15905,42,1
17562,15860,16071,47,-1
19934,20524,19344,52,-1
14153,13232,12993,52,1
20936,21647,19940,51,-1
14470,13611,15492,27,1
14913,14262,14201,53,-1
13808,13647,14395,57,1
18453,19498,19789,37,-1
18121,19607,18874,21,1
12186,10840,11407,47,1
14718,14816,14468,46,1
21347,22121,21702,32,-1
17745,19401,20804,47,1
20604,22079,21514,26,-1
20431,21314,19926,21,1
17814,18735,17999,42,1
12140,12085,11195,24,1
13683,14035,13567,27,-1
12703,12095,13219,47,1
12220,11662,11232,27,1
21407,21901,21264,32,-1
15518,15053,15055,32,-1
13315,14373,13793,37,1
14934,16545,14482,31,1
21144,21600,21420,21,-1
15984,16270,16009,62,1
14011,15204,15923,32,-1
13893,14743,14475,32,1
12524,13409,13244,52,1
13884,13594,12752,26,1
17506,17888,17762,27,-1
19198,19557,19532,42,-1
14046,13563,13198,42,1
14714,15346,14653,44,1
12844,14025,14268,34,-1
19536,19222,18865,32,-1
14410,15392,15655,32,1
26905,26659,26059,57,-1
12160,11488,11680,52,1
20728,20615,20965,21,1
14913,14117,14322,34,1
18763,19917,19944,37,1
19140,19191,18354,47,1
13229,11654,12730,35,1
13252,12706,13535,37,1
22511,22464,22913,32,1
17570,17295,14648,36,-1
20538,19462,18953,21,1
21920,21164,20970,57,-1
13083,12290,11995,47,1
14463,14256,15174,32,1
16975,16935,16154,27,-1
14777,15545,15529,62,1
22405,22559,22854,42,1
19727,19515,20501,42,-1
16331,14920,18547,40,1
17507,17895,17215,42,1
17287,16672,16595,42,-1
20793,20199,20680,62,1
16840,17097,16341,37,-1
12056,12745,11359,32,1
15596,16311,17094,40,1
12220,11880,11740,42,1
11450,10318,11005,37,1
15033,15617,14984,57,1
11289,11809,12649,61,1
12586,12413,13849,52,1
14631,13248,13249,47,1
22385,23229,22712,21,-1
19982,19264,19930,42,1
13278,13287,13442,52,1
11037,12161,12685,32,-1
20352,19547,19674,37,-1
14792,15285,14705,36,1
20694,20846,19649,44,-1
10849,10726,10984,37,1
16546,16254,16878,32,1
17741,18410,17399,47,-1
14246,14253,15568,47,1
12523,12332,11073,42,1
15068,13629,14811,47,1
13592,13258,13058,47,1
14208,13934,13648,21,1
16176,16400,16664,75,1
16542,15870,16296,37,1
18423,19330,18610,32,1
15794,14536,15899,56,1
13467,12760,12805,32,1
21851,21522,22163,42,1
16144,15108,15549,42,1
12919,12944,14189,37,1
10281,11263,11188,32,1
16778,16474,16796,32,1
24142,25615,25831,37,1
17832,16413,17039,52,1
15931,12889,14283,46,1
14993,13405,13474,32,1
14887,13859,15218,27,1
14604,18189,15974,43,-1
18161,18148,19522,47,-1
12117,13250,13627,31,1
13059,12690,13132,52,1
18384,19045,17140,37,1
18233,18184,16843,32,1
20099,19151,18845,31,1
17774,17909,17066,44,1
18196,16994,18094,36,1
20400,20840,20340,57,-1
15821,14422,15015,36,1
18874,17226,18539,30,1
22197,22181,23108,37,1
18279,17983,18687,42,1
19679,20166,20872,64,1
14896,15978,14525,37,-1
12182,11264,12861,37,1
13134,13144,13816,49,1
20508,20068,19873,37,1
12878,13687,21600,50,1
14060,14886,15123,27,1
15922,17020,15100,56,1
13231,12698,11993,35,-1
22438,21321,21110,21,-1
19877,19090,20646,32,1
11376,11541,12018,34,1
24457,25568,24515,62,1
13693,12943,13740,41,1
14688,15874,14386,22,-1
10757,12060,11471,32,-1
15225,14839,14726,32,1
23879,24690,24200,42,1
16671,16413,16346,43,1
11357,11209,12075,46,1
18615,18904,19611,32,-1
11486,12824,12581,32,1
25388,26032,25828,27,1
15981,13373,21743,37,1
17646,16434,16317,42,1
11828,10577,10567,27,1
13615,14676,13890,21,-1
15417,16281,16742,47,1
13310,14613,14524,32,1
18188,18196,16795,44,1
21897,22091,21584,37,1
18866,19583,18401,32,1
14486,15273,14260,47,1
18272,17899,17191,27,1
16145,17215,17356,37,-1
13772,13925,12749,44,1
15224,16701,16484,47,1
11027,10776,10591,35,1
16065,16538,16074,21,1
15906,17265,16059,37,-1
17412,16887,16168,57,1
12002,12358,11338,32,1
24902,24703,24828,37,1
19794,19667,20858,27,1
18063,18336,19367,37,-1
14675,15824,14621,27,-1
14959,14273,13635,44,1
22568,17932,25890,21,-1
19272,18753,19427,52,1
14622,14404,15474,47,1
20576,19996,20855,27,1
14331,15812,15186,47,1
17277,16452,17001,37,1
18470,17126,18569,36,1
18286,17187,14334,46,-1
14585,15421,14190,37,1
21515,20795,20786,42,1
15081,16030,16189,32,1
17496,17054,18374,47,1
23540,23828,26148,42,-1
18783,18404,19657,57,1
14365,15000,13916,27,-1
16621,17622,17366,52,1
12269,14049,17329,21,1
11368,12099,11108,37,1
11187,21600,10897,32,1
14250,15700,15569,19,1
13886,13929,14436,27,1
14800,13392,14440,27,1
15506,16024,15826,32,-1
17476,16841,18137,37,-1
24755,25412,25043,27,-1
14420,15620,15457,36,1
16934,14323,17255,32,1
20926,21547,20460,47,1
12841,14258,13426,54,1
21600,21425,20958,21,1
15179,16769,15482,34,-1
16303,15684,15957,47,1
17628,18285,17224,56,1
19218,20454,19597,47,1
21596,22186,21463,52,1
19239,19047,19518,37,1
20955,21726,22473,47,-1
18211,18046,19469,21,1
11576,11431,12460,21,1
14787,13693,13412,27,1
14695,13989,13842,52,1
17190,16010,16619,32,-1
22390,21881,20956,27,-1
18010,16329,16722,47,1
16994,14995,15016,44,1
12651,12633,12135,26,1
14094,14151,13278,66,1
11481,12293,12624,36,1
25996,25646,24582,67,1
14499,13905,15076,37,-1
14632,15175,14813,42,1
20463,19921,19138,56,1
18354,18774,17546,57,1
11870,13746,12398,52,1
10801,11330,11069,42,1
14848,14902,15761,42,-1
17456,16225,16754,47,1
12987,12307,11729,37,1
19592,19937,20385,42,1
20407,21896,20368,52,1
19533,18356,18558,37,-1
17180,16862,16641,37,1
13349,14142,12816,32,1
12458,12571,13399,62,1
14209,14679,14766,64,1
15288,14501,14365,57,-1
12525,12425,13104,32,1
18286,21784,22521,36,-1
20983,20563,20550,27,1
15063,17512,16319,35,1
13602,13938,14272,52,1
15566,15607,15159,27,1
17089,17917,18669,21,1
12735,13432,12974,41,1
13071,11811,13227,37,1
13822,12642,11911,32,1
16007,16096,14043,45,-1
12260,11189,11845,36,1
12805,12308,12088,32,1
16156,15606,15009,21,1
16227,16467,16168,21,1
13209,14028,14972,19,1
11671,11304,11605,31,1
15917,17103,15492,27,1
19104,17974,17781,27,1
18956,17778,18550,27,1
19311,19211,19563,37,1
13136,12581,14223,56,1
18149,18627,17758,47,1
15888,15297,14893,21,1
14953,14145,13439,44,1
11205,10747,10514,52,1
16524,17288,16197,34,1
12281,13700,13406,37,-1
14633,13942,14813,52,1
20123,19235,19626,47,1
14125,14705,14418,27,1
13147,14827,14678,37,1
24944,23901,23597,42,-1
13514,12778,13555,52,1
19460,18511,18311,37,-1
104865,105822,104548,52,-1
14028,13353,13709,37,1
18964,18577,18263,37,1
21770,22027,20498,67,1
16036,16608,17573,32,-1
18239,21600,17718,43,1
16599,17255,15700,27,-1
18802,18894,18720,21,-1
19303,19660,19982,57,-1
17550,15150,15196,37,-1
20608,19595,20188,32,-1
14744,15957,15918,36,1
17695,17583,18329,27,-1
14304,14050,13404,32,-1
18642,17536,17447,47,1
14515,15237,15404,21,1
16794,15541,17128,32,1
14700,14353,14625,52,1
11852,11754,12592,35,1
22193,21694,22304,32,1
19578,19828,20799,52,-1
14765,16338,15432,36,-1
14409,13559,14961,42,1
19096,19100,19699,42,-1
14388,13971,14351,21,1
20007,19794,18681,27,1
21345,22361,21262,42,1
20134,20365,21170,37,1
20818,20785,20796,52,-1
21007,20248,21411,42,1
13975,14857,14960,37,1
19813,19748,18608,34,-1
14953,16269,15383,21,-1
18371,18218,18845,42,-1
14877,15153,14485,37,1
15534,14391,15781,27,1
17161,15635,17037,54,1
19155,20028,19569,42,-1
16986,15082,18644,59,1
14571,13853,14591,37,1
18424,19858,19317,54,1
12264,13625,13462,42,1
12659,14474,12223,36,1
14250,13049,14255,21,-1
14552,15088,13523,57,1
17876,16730,18232,42,-1
19422,19884,20058,42,1
15041,15119,14366,52,-1
12319,17233,12102,36,1
17763,16820,16644,32,-1
25852,24891,25512,42,-1
14890,14472,15407,42,1
17591,17512,17001,44,-1
13294,14858,16677,47,1
15425,14276,14835,32,-1
13350,13460,12742,37,1
16826,16723,16961,45,-1
15263,15186,16350,42,1
11607,12336,11629,34,1
14147,16095,16028,47,1
14963,14814,15772,27,-1
18293,18588,17929,21,1
18839,17976,18043,26,-1
18566,19159,18083,52,1
17417,16923,17109,32,-1
14089,14622,14923,42,1
15889,16656,16042,32,1
22635,23184,23786,27,-1
21797,21000,21764,21,1
17451,17387,16614,34,1
16390,15769,15266,52,1
20627,19956,21132,42,1
13214,13100,12812,27,-1
19959,19261,19756,47,-1
16734,15096,16166,43,-1
12228,12874,12385,60,1
