Id,Gender,avg(Age),avg(AvgTime)
65,M,47.0000,13451.333333333
66,M,47.8333,14151.166666666
67,F,21.0000,13942.000000000
68,M,47.0000,18656.000000000
69,M,15.5000,12661.000000000
70,M,27.0000,14232.000000000
71,M,42.0000,17256.000000000
72,F,37.0000,18029.000000000
73,M,42.0000,13667.000000000
74,M,27.0000,21265.000000000
75,M,35.5000,12745.500000000
76,F,37.0000,16979.000000000
77,F,52.0000,13721.000000000
78,F,37.0000,16110.000000000
79,M,52.0000,20291.000000000
80,F,52.0000,27510.000000000
81,M,32.0000,18921.500000000
82,M,52.0000,17382.000000000
83,M,42.0000,15674.000000000
84,F,27.0000,13862.500000000
85,M,53.0000,16637.000000000
86,M,32.0000,25969.000000000
87,F,34.0000,18365.000000000
89,M,32.0000,16543.000000000
90,M,42.0000,12882.000000000
91,M,42.0000,16233.000000000
92,M,46.2500,16007.000000000
93,M,53.0000,16823.000000000
94,F,42.0000,19823.000000000
96,M,52.0000,17931.600000000
97,M,37.0000,24315.000000000
98,M,42.0000,17135.000000000
99,M,35.5000,19413.000000000
100,F,43.7500,17442.250000000
101,M,21.0000,15557.000000000
102,M,47.0000,17873.000000000
103,M,32.0000,18234.000000000
104,F,46.2500,17323.750000000
105,F,25.0000,17327.666666666
106,F,21.7500,17117.250000000
107,M,47.0000,14506.000000000
108,M,27.0000,13876.000000000
109,M,52.0000,13912.000000000
110,M,21.0000,14736.000000000
111,F,32.0000,13260.000000000
112,F,27.0000,27808.000000000
113,M,37.0000,17784.000000000
114,M,43.7500,16641.500000000
115,M,37.0000,19913.000000000
116,F,57.0000,15338.000000000
117,M,42.0000,20450.000000000
118,F,21.0000,18124.000000000
119,M,52.0000,12816.000000000
120,F,32.0000,23828.000000000
121,M,30.7500,17509.500000000
122,M,25.0000,16470.000000000
123,F,47.0000,16434.000000000
124,F,47.0000,14871.000000000
125,M,35.5000,13008.000000000
126,M,32.0000,14530.000000000
127,M,57.0000,16253.000000000
128,F,19.6667,14948.666666666
129,M,47.0000,18121.500000000
130,M,32.0000,12437.000000000
131,M,32.0000,15975.000000000
132,F,53.1429,16949.285714285
133,M,27.0000,13991.000000000
134,M,52.0000,13921.000000000
135,M,27.0000,14726.000000000
137,M,35.1000,18386.200000000
138,M,42.0000,21384.000000000
139,M,62.0000,19191.000000000
140,F,31.8571,15649.000000000
141,M,45.5000,16489.500000000
142,F,37.0000,18485.000000000
143,M,21.0000,13760.000000000
144,M,37.0000,18560.000000000
145,M,32.0000,15361.000000000
146,M,27.0000,15273.000000000
147,M,21.0000,14753.000000000
148,M,48.6667,17469.666666666
149,M,42.0000,10743.000000000
150,M,52.0000,20046.000000000
151,M,21.0000,14884.000000000
152,F,21.0000,12947.000000000
153,M,45.5000,21011.000000000
154,M,33.0000,18669.000000000
155,M,27.0000,15521.000000000
156,F,42.0000,18967.000000000
157,M,46.5000,13800.833333333
158,M,32.0000,23134.000000000
159,M,27.0000,21364.000000000
160,M,32.0000,8323.000000000
161,F,27.0000,14970.000000000
162,F,34.8000,17582.000000000
163,M,42.0000,21600.000000000
164,M,52.0000,17393.000000000
165,M,32.0000,16424.000000000
166,M,42.0000,14532.000000000
167,F,62.0000,23355.000000000
168,M,43.0000,18372.500000000
169,M,27.0000,13593.000000000
170,M,31.0000,14130.000000000
171,M,52.0000,14938.333333333
172,M,35.1667,11460.000000000
173,M,42.0000,17448.000000000
174,F,47.0000,24045.000000000
175,M,27.0000,23328.000000000
176,M,39.5000,15593.500000000
178,M,32.0000,19714.000000000
180,M,32.0000,14734.000000000
181,M,33.5000,14892.250000000
182,F,52.0000,14905.000000000
183,M,67.0000,20160.000000000
184,M,27.0000,16369.000000000
185,F,43.0000,15958.500000000
186,M,37.0000,17105.666666666
187,M,45.0000,17832.666666666
188,M,21.0000,22544.000000000
189,M,46.8333,16818.333333333
190,F,33.0000,12902.500000000
191,M,42.0000,20837.000000000
192,M,42.0000,19577.000000000
193,M,38.0000,17835.000000000
194,M,25.5000,12844.500000000
195,M,21.0000,19058.000000000
196,M,42.0000,18247.000000000
197,M,37.0000,16901.000000000
198,F,41.5000,17997.666666666
199,F,47.0000,15578.000000000
200,M,42.0000,16549.000000000
202,M,53.7273,15594.454545454
203,M,24.0000,13326.500000000
204,M,42.0000,22041.000000000
205,M,43.2500,16554.250000000
206,F,53.0000,14990.000000000
207,M,44.5455,18232.000000000
208,M,37.0000,14019.000000000
209,F,42.0000,25329.000000000
210,F,35.5000,14726.000000000
211,F,21.0000,22861.000000000
212,M,43.0000,14205.250000000
213,M,32.0000,17537.000000000
214,F,23.3333,17063.333333333
215,F,49.5000,17542.000000000
216,M,21.0000,22830.000000000
217,M,32.5000,17374.750000000
218,F,37.0000,20255.000000000
219,F,37.0000,15171.000000000
220,F,27.0000,18619.000000000
221,M,37.5000,19145.500000000
222,M,37.0000,16223.000000000
223,M,32.0000,11663.000000000
224,M,42.0000,13779.000000000
225,F,47.0000,16667.000000000
226,M,47.0000,19693.000000000
227,F,35.5000,16114.000000000
228,M,27.0000,17933.500000000
229,M,36.0000,16659.666666666
230,M,27.0000,17315.000000000
231,M,21.0000,13620.000000000
232,M,21.0000,11660.000000000
233,M,42.0000,16791.000000000
234,M,16.0000,18302.000000000
235,F,27.0000,22415.000000000
236,F,52.5000,17352.750000000
237,M,47.0000,20224.000000000
238,M,52.0000,18098.000000000
239,M,42.0000,17883.000000000
240,F,35.5000,14130.500000000
241,M,32.0000,16019.000000000
242,M,52.0000,16611.000000000
243,M,52.0000,12913.000000000
244,M,37.0000,17074.000000000
245,M,21.0000,15879.000000000
246,F,27.0000,14335.000000000
247,M,37.0000,14749.200000000
248,F,43.0000,16530.000000000
249,F,27.0000,17084.666666666
250,F,27.0000,15134.000000000
251,M,52.0000,21482.000000000
252,F,42.0000,15264.000000000
253,M,47.0000,14195.000000000
254,M,32.0000,17506.000000000
255,M,21.0000,19844.000000000
256,M,42.0000,18590.000000000
257,F,43.0000,15616.500000000
258,M,51.1667,14221.666666666
259,M,41.4000,15792.200000000
260,M,21.0000,20253.000000000
261,F,52.0000,22483.000000000
262,M,47.0000,17428.000000000
263,M,21.0000,17506.000000000
264,M,32.0000,18392.000000000
265,M,37.0000,14986.500000000
266,M,62.0000,16516.500000000
267,M,42.0000,21600.000000000
268,M,16.0000,21757.000000000
269,M,27.0000,12640.000000000
270,M,44.3333,15654.833333333
271,M,32.0000,28333.000000000
272,M,32.0000,14461.000000000
273,M,57.0000,17357.000000000
274,M,18.0000,14242.666666666
275,M,62.0000,17598.500000000
276,F,52.0000,17663.000000000
277,M,52.0000,18346.000000000
278,M,37.0000,11888.000000000
279,M,42.0000,11820.000000000
280,M,52.0000,15640.000000000
281,M,32.0000,15737.000000000
282,M,37.2857,17741.142857142
283,M,21.0000,18052.000000000
284,F,35.3333,15887.333333333
285,M,52.0000,18477.000000000
286,M,57.0000,17945.000000000
287,M,42.0000,12651.000000000
288,M,37.0000,12355.000000000
289,M,37.0000,21600.000000000
290,M,57.0000,17053.000000000
291,M,46.6667,15464.666666666
293,M,21.0000,16471.000000000
294,M,52.0000,17518.000000000
295,F,32.0000,19033.000000000
296,M,42.0000,14429.500000000
297,M,27.0000,19775.000000000
298,M,37.0000,15777.000000000
299,F,52.0000,18682.000000000
300,M,27.0000,21170.000000000
301,F,32.0000,16985.000000000
302,M,26.2000,17461.000000000
303,M,53.0000,16331.500000000
304,M,27.0000,19319.000000000
305,M,21.0000,14887.000000000
306,M,37.0000,16603.000000000
307,M,21.0000,13635.000000000
308,M,37.0000,16600.000000000
309,M,37.0000,15170.000000000
310,F,21.0000,15826.000000000
312,F,27.0000,15413.000000000
313,M,42.0000,22291.000000000
314,M,42.0000,11495.000000000
315,M,27.7143,15758.857142857
316,M,39.5000,17700.500000000
317,F,40.0000,16392.500000000
318,M,37.0000,17252.000000000
319,M,42.0000,14647.000000000
320,M,37.0000,15292.000000000
321,M,42.0000,13196.333333333
322,M,35.2500,16781.250000000
323,M,35.8889,15082.888888888
324,F,21.0000,19823.000000000
326,M,42.0000,21479.000000000
327,F,36.0000,18981.000000000
328,M,32.0000,18949.000000000
329,M,37.0000,16336.000000000
330,M,21.0000,17187.000000000
331,M,23.0000,16994.666666666
332,F,43.3333,17659.833333333
333,M,32.0000,11198.000000000
334,M,37.0000,13176.000000000
335,M,42.5000,15803.000000000
336,M,47.0000,19322.500000000
337,M,42.0000,12007.000000000
338,M,57.0000,15609.000000000
339,M,32.0000,15632.000000000
340,M,27.0000,17867.000000000
341,F,37.0000,13399.500000000
342,M,56.4000,16866.000000000
343,M,27.0000,11893.500000000
344,M,32.6667,15491.000000000
345,F,28.0000,14009.400000000
346,M,27.0000,17682.000000000
347,M,52.0000,19914.000000000
348,F,21.0000,19268.000000000
349,M,32.6667,16542.500000000
350,M,36.0000,13333.666666666
351,M,27.0000,16625.000000000
352,M,37.0000,15014.000000000
353,F,22.8000,22210.000000000
354,M,57.0000,13221.000000000
355,M,45.3333,15725.333333333
356,M,37.0000,17465.000000000
357,M,37.0000,14045.500000000
358,M,55.5000,13278.000000000
359,M,36.4000,12692.400000000
360,M,32.0000,17576.000000000
362,M,27.0000,16476.000000000
363,F,37.0000,15666.000000000
364,F,37.0000,16377.666666666
365,M,21.0000,24507.000000000
367,M,32.0000,17289.000000000
368,M,42.0000,16962.000000000
369,M,32.0000,14352.000000000
370,M,37.0000,17718.000000000
371,M,44.2500,13699.750000000
372,F,37.0000,19435.500000000
373,F,57.0000,19301.000000000
374,M,43.0000,12919.500000000
375,M,32.0000,15082.000000000
376,M,27.0000,12256.000000000
377,M,62.0000,12285.000000000
378,M,32.0000,19927.000000000
379,M,57.0000,18377.000000000
380,M,32.0000,23626.000000000
381,M,37.0000,17595.000000000
382,M,47.0000,19577.000000000
383,F,27.0000,20021.666666666
384,M,47.2059,11853.882352941
385,M,52.0000,19991.500000000
386,M,21.0000,16148.000000000
387,M,36.0000,16478.888888888
388,M,47.0000,22774.000000000
389,M,27.0000,18260.000000000
390,M,42.0000,16468.000000000
391,M,32.0000,21600.000000000
392,M,37.0000,12251.000000000
393,F,42.0000,13914.000000000
394,M,63.0000,13295.333333333
395,F,42.0000,25591.000000000
396,M,47.0000,11968.000000000
397,F,42.0000,14943.000000000
398,M,21.5000,13237.500000000
399,F,32.0000,17713.000000000
400,M,52.0000,21157.000000000
401,F,15.5000,15724.000000000
402,M,27.0000,10740.000000000
403,M,35.5000,15629.000000000
404,M,42.0000,13089.000000000
405,M,21.0000,14846.500000000
406,M,37.0000,21613.000000000
407,M,37.0000,14565.000000000
408,M,42.0000,16402.000000000
409,M,27.0000,27199.000000000
410,M,26.6250,14861.000000000
411,M,43.0000,15640.500000000
412,F,46.0000,16608.000000000
413,M,42.0000,23156.000000000
414,M,47.0000,13476.500000000
415,M,50.0000,14427.000000000
416,M,48.3333,16128.000000000
417,M,27.0000,15850.000000000
418,M,32.0000,13702.000000000
419,M,30.0000,15651.555555555
420,M,43.0000,17796.000000000
421,M,51.9000,17386.100000000
422,M,32.0000,14378.000000000
423,M,57.0000,17945.000000000
424,F,27.0000,15774.333333333
425,M,59.5000,16493.250000000
426,F,33.3333,19489.666666666
427,M,27.0000,13181.000000000
428,M,46.0000,16437.000000000
430,M,37.0000,15059.000000000
431,F,27.0000,15292.000000000
432,F,34.0000,16746.000000000
433,F,27.0000,12498.000000000
434,F,25.5000,13577.000000000
435,M,47.0000,14380.000000000
436,M,57.0000,14857.000000000
437,M,42.0000,12655.500000000
438,F,36.0000,14382.333333333
439,F,16.0000,19499.000000000
440,F,57.0000,23831.000000000
441,M,21.0000,21600.000000000
442,M,56.0000,17059.800000000
443,M,34.1111,12481.555555555
444,M,47.0000,14485.000000000
445,M,32.0000,14107.000000000
446,M,52.0000,21171.000000000
447,M,-1.0000,17037.000000000
448,M,47.0000,15013.000000000
449,M,29.5000,16135.500000000
450,M,47.0000,21600.000000000
451,M,21.0000,13418.500000000
452,F,21.0000,15233.000000000
453,F,27.0000,17781.000000000
454,M,37.0000,12913.000000000
455,M,42.0000,17920.500000000
456,M,32.5000,11688.500000000
457,F,32.0000,15031.000000000
458,M,67.0000,28547.000000000
459,F,32.0000,13902.000000000
460,M,42.0000,16628.000000000
461,M,48.7500,15867.750000000
462,F,42.0000,15591.000000000
463,F,44.5000,19984.000000000
464,M,42.0000,11815.000000000
465,F,27.0000,15499.000000000
466,F,32.0000,13624.000000000
467,M,37.0000,11891.000000000
468,M,47.0000,14975.500000000
469,M,25.5000,11560.000000000
470,M,57.0000,15319.000000000
471,M,42.0000,17055.000000000
472,M,37.0000,12895.000000000
473,M,27.0000,14426.000000000
474,M,60.5000,16830.000000000
475,M,55.0000,14499.500000000
476,M,57.0000,16234.625000000
477,M,47.0000,13815.000000000
478,M,37.0000,17552.500000000
479,M,37.0000,12559.000000000
480,M,42.0000,16763.000000000
481,M,57.0000,16231.000000000
482,M,36.5000,13530.333333333
483,M,33.0000,14554.500000000
484,M,27.0000,13854.000000000
485,F,32.0000,20486.000000000
486,M,33.0000,15111.200000000
487,F,49.5000,14544.000000000
488,M,32.0000,14191.000000000
489,M,42.0000,16370.500000000
490,M,32.0000,10052.666666666
491,M,32.0000,19192.000000000
492,M,37.0000,12671.000000000
493,F,32.0000,15416.000000000
494,M,47.0000,17958.000000000
495,M,36.0000,17289.000000000
496,M,53.0000,12245.000000000
497,F,42.0000,12398.000000000
498,M,21.0000,11760.000000000
499,F,32.0000,21956.000000000
500,F,36.0000,16989.666666666
501,M,37.0000,13468.000000000
502,F,27.0000,14864.000000000
503,M,33.0000,20789.500000000
505,F,47.0000,15080.000000000
506,F,52.0000,16099.000000000
507,F,31.0000,17189.000000000
508,M,47.0000,12262.000000000
509,M,32.0000,16711.000000000
510,M,44.3333,17367.000000000
511,M,47.0000,14151.000000000
512,M,42.0000,18725.500000000
513,M,37.0000,12352.000000000
514,M,37.0000,17001.000000000
515,M,46.3750,15720.750000000
517,M,42.0000,16619.500000000
518,M,52.0000,16671.000000000
520,M,21.0000,14750.000000000
521,M,27.0000,20182.250000000
522,F,47.0000,20371.000000000
523,M,37.0000,15809.500000000
524,M,37.0000,16452.000000000
525,M,27.0000,16225.000000000
526,M,33.0000,11224.500000000
527,F,42.0000,21716.000000000
528,M,37.0000,13786.500000000
529,M,35.5000,11077.000000000
530,M,23.2500,13116.000000000
531,M,46.4000,18586.200000000
532,F,42.0000,21749.000000000
533,M,62.0000,13526.000000000
534,M,21.0000,15569.000000000
535,F,37.0000,17625.000000000
536,F,28.0000,17888.500000000
537,M,21.0000,18044.000000000
538,M,52.0000,19259.000000000
539,M,35.5000,12242.500000000
540,F,33.0000,16144.500000000
541,M,57.0000,12761.000000000
542,F,47.0000,23153.000000000
543,M,37.0000,13686.500000000
544,F,42.0000,14337.000000000
545,M,52.0000,15894.333333333
546,M,27.0000,24526.000000000
548,M,23.6667,13040.666666666
549,M,53.4286,18786.428571428
550,F,27.0000,17464.000000000
551,F,37.0000,13454.300000000
552,M,57.0000,12071.000000000
553,M,21.0000,18909.000000000
554,M,42.0000,13948.666666666
555,M,43.3333,13386.333333333
556,M,42.0000,18026.000000000
557,F,35.5000,16341.250000000
558,M,47.0000,20292.000000000
559,F,47.0000,19633.000000000
560,M,37.0000,15007.000000000
561,M,21.0000,18666.000000000
562,M,37.0000,20347.000000000
563,M,32.0000,13822.000000000
564,M,27.0000,12417.000000000
565,M,52.0000,18019.000000000
567,M,21.0000,17217.000000000
568,F,52.0000,17180.000000000
569,M,21.0000,14876.000000000
570,M,21.0000,19358.000000000
571,M,27.0000,14970.000000000
572,M,32.0000,16827.000000000
573,M,47.0000,17544.666666666
574,M,32.0000,16051.000000000
575,M,42.0000,12578.000000000
576,M,27.0000,19690.000000000
577,M,52.5714,16891.714285714
578,M,32.0000,16514.000000000
579,M,47.0000,21600.000000000
580,M,55.0000,13231.666666666
581,M,37.0000,17706.000000000
582,M,32.0000,17956.000000000
583,M,42.0000,18017.000000000
584,M,32.0000,15585.000000000
585,M,57.0000,13333.000000000
586,F,30.3333,18571.000000000
587,M,37.0000,16223.000000000
588,F,29.5000,18663.500000000
589,M,36.6667,17716.666666666
590,M,17.5000,12506.000000000
591,M,21.0000,14285.000000000
592,F,48.8000,17942.400000000
593,M,26.0000,14377.000000000
594,M,45.5000,11662.500000000
595,M,37.0000,13095.000000000
596,F,37.0000,13925.000000000
597,M,27.0000,16396.000000000
598,M,42.0000,20676.000000000
599,F,47.0000,15258.000000000
600,M,47.0000,12675.500000000
601,F,33.0000,16358.000000000
602,F,37.0000,17092.000000000
603,M,34.5000,15085.000000000
604,M,27.0000,24608.000000000
606,F,36.2500,18392.500000000
607,M,27.0000,15956.000000000
608,F,52.0000,18611.000000000
609,M,37.0000,14644.000000000
610,M,38.2857,14112.857142857
611,M,42.0000,14446.000000000
612,M,47.0000,14958.000000000
613,M,35.5000,16321.375000000
614,M,21.0000,17992.000000000
615,M,44.5000,20221.500000000
616,M,37.0000,20639.000000000
617,M,42.0000,23404.000000000
618,M,45.5000,14037.000000000
619,F,27.0000,17054.000000000
620,M,57.0000,13716.000000000
621,F,52.0000,20410.000000000
622,M,37.0000,21170.000000000
623,M,21.0000,13316.000000000
624,M,35.3333,15949.000000000
625,M,32.0000,13105.000000000
626,M,37.0000,17892.000000000
627,F,52.0000,22248.000000000
628,F,30.0000,16500.333333333
629,M,25.5000,10375.000000000
630,M,43.3333,15121.000000000
631,F,16.0000,22167.000000000
632,M,42.0000,11748.000000000
633,M,42.0000,21582.000000000
634,M,37.5000,13674.750000000
635,M,52.0000,18206.000000000
636,F,32.0000,14948.000000000
637,M,47.0000,11939.000000000
638,M,43.5000,14738.333333333
639,M,40.5000,13288.000000000
641,M,42.0000,14012.000000000
642,M,32.0000,13989.000000000
643,M,47.0000,25821.000000000
644,M,52.0000,14913.000000000
645,M,32.0000,17622.333333333
646,F,27.0000,18450.000000000
647,M,42.0000,18326.000000000
648,M,27.0000,11407.000000000
649,M,35.7143,18852.714285714
650,M,26.0000,16872.333333333
651,M,57.0000,14628.000000000
652,M,57.0000,16765.000000000
653,M,36.4000,14072.200000000
654,M,37.0000,16630.000000000
655,M,21.0000,14086.000000000
656,M,43.0000,12863.000000000
657,M,32.0000,12578.000000000
658,F,37.0000,14100.000000000
659,M,25.5000,12032.500000000
660,M,27.0000,14235.000000000
661,M,52.0000,20798.500000000
662,M,27.0000,14423.000000000
664,F,35.3333,17480.000000000
665,M,43.0000,16223.000000000
666,M,32.0000,14423.000000000
667,F,49.5000,24140.500000000
668,M,21.0000,17131.500000000
669,M,41.0000,10102.333333333
670,M,55.5000,14850.000000000
671,M,27.6667,13972.666666666
672,M,27.0000,14896.000000000
673,M,44.5000,15339.000000000
674,M,42.0000,15766.000000000
675,M,32.0000,14086.000000000
676,M,34.3333,10081.333333333
677,M,37.6667,11515.000000000
678,M,47.0000,17412.000000000
679,M,53.0000,12439.500000000
680,M,16.0000,18213.000000000
681,F,47.0000,18472.500000000
682,F,47.0000,17283.000000000
683,M,42.0000,16069.000000000
684,M,37.0000,13012.000000000
685,F,21.0000,16390.000000000
686,M,42.0000,16071.000000000
687,M,27.0000,10808.500000000
688,M,57.0000,13521.000000000
689,M,37.0000,11589.000000000
690,M,42.0000,18761.500000000
691,M,25.5000,14256.500000000
692,F,21.3333,18610.000000000
693,M,47.0000,14670.000000000
694,M,27.0000,18646.000000000
695,M,27.0000,12564.000000000
696,M,27.0000,21178.000000000
698,M,37.0000,11644.000000000
699,M,23.9000,13327.800000000
701,M,32.0000,13830.000000000
702,M,33.0000,15312.500000000
703,F,27.0000,17296.000000000
704,M,39.5000,18007.000000000
705,M,27.0000,16128.000000000
706,M,37.0000,12540.000000000
707,M,37.0000,17446.000000000
708,M,42.0000,16381.400000000
709,M,37.0000,14931.000000000
710,F,21.0000,13883.000000000
711,M,25.5000,13325.000000000
712,M,37.0000,18356.000000000
714,M,21.0000,16296.000000000
715,M,21.0000,13990.000000000
716,M,27.0000,13138.000000000
717,M,52.0000,16165.000000000
718,M,32.0000,12148.000000000
719,M,47.0000,14909.000000000
720,M,27.0000,18695.000000000
721,M,54.1429,16435.857142857
722,F,33.5000,16267.500000000
723,M,52.0000,15554.000000000
724,M,46.0000,17028.500000000
725,M,52.0000,14440.000000000
727,M,42.0000,14213.000000000
728,M,42.0000,13835.000000000
729,M,37.0000,14445.000000000
730,M,52.0000,14158.000000000
731,M,21.0000,13995.000000000
732,M,47.0000,16708.000000000
733,M,21.0000,13866.500000000
734,M,35.0000,16102.000000000
735,M,37.0000,12767.000000000
736,M,42.0000,15419.666666666
737,F,32.0000,13583.500000000
738,M,33.6667,18240.333333333
739,M,27.0000,20676.000000000
740,M,36.8000,14019.400000000
741,F,32.0000,23502.000000000
743,M,52.0000,21182.000000000
744,M,27.0000,14887.000000000
745,M,40.3333,18294.666666666
746,M,32.0000,18679.000000000
747,M,27.0000,14818.000000000
748,M,37.0000,16996.000000000
749,M,32.0000,15857.000000000
750,F,27.0000,17654.000000000
751,M,43.8000,18266.500000000
752,F,27.0000,13548.500000000
753,M,43.6667,15370.333333333
754,M,43.0000,14418.000000000
755,F,67.0000,19185.000000000
757,M,37.0000,11941.000000000
758,F,46.0000,17732.333333333
759,M,42.0000,12900.000000000
760,M,57.0000,16413.000000000
761,M,37.0000,15579.000000000
762,M,37.0000,17535.000000000
763,M,26.0000,15147.000000000
764,M,47.0000,14804.000000000
765,M,42.0000,12057.000000000
766,F,32.0000,18366.000000000
767,F,27.0000,13416.000000000
769,M,37.0000,17770.000000000
770,M,47.0000,16408.000000000
771,M,32.0000,18322.000000000
772,M,42.0000,19885.000000000
773,M,30.5000,14485.000000000
774,M,62.0000,23333.000000000
775,M,27.0000,14616.500000000
776,F,33.2500,15554.500000000
777,F,51.0000,14588.666666666
778,M,42.0000,12032.000000000
779,M,22.5000,14985.000000000
780,M,44.5000,20057.500000000
781,M,21.0000,21672.000000000
782,F,27.0000,17338.000000000
783,M,32.0000,16552.666666666
785,F,37.0000,17562.000000000
786,M,32.0000,20474.000000000
787,M,35.8000,15547.400000000
788,M,23.6667,15802.333333333
789,M,27.0000,18465.000000000
790,M,54.5000,16161.250000000
791,F,21.0000,14845.000000000
792,M,25.0000,12418.750000000
793,M,32.0000,14868.000000000
794,F,32.5000,17863.750000000
795,M,35.3333,14278.000000000
796,M,57.0000,17401.000000000
797,M,37.0000,9839.666666666
798,M,32.6667,17068.666666666
799,M,42.0000,16052.000000000
800,M,37.0000,13036.000000000
801,F,25.0000,14961.000000000
802,F,47.0000,19747.000000000
803,F,52.5000,14809.250000000
804,M,15.6667,15856.666666666
805,F,34.1667,13143.333333333
806,F,32.6667,20645.333333333
807,F,35.5000,19937.000000000
808,M,32.0000,16357.000000000
809,M,37.0000,21760.000000000
810,F,42.0000,15567.000000000
811,M,37.0000,11333.000000000
812,M,47.0000,15300.000000000
813,M,37.0000,11703.000000000
814,M,25.5000,12677.000000000
815,M,42.6667,16366.000000000
816,M,42.0000,17445.000000000
818,M,27.0000,17267.000000000
819,M,52.0000,17752.000000000
820,M,38.6667,18878.333333333
821,F,40.7500,20084.500000000
822,M,46.2500,14718.750000000
823,M,52.0000,16344.000000000
824,M,59.7500,16471.000000000
825,M,32.0000,12167.000000000
826,M,32.0000,10792.000000000
827,M,52.0000,13745.000000000
828,M,42.0000,12332.000000000
829,F,37.0000,18418.000000000
830,M,42.0000,13973.000000000
831,F,21.0000,20189.000000000
832,F,37.0000,12665.000000000
833,M,27.0000,23191.000000000
834,M,57.0000,18151.000000000
835,F,42.0000,16846.000000000
836,M,27.0000,16582.000000000
837,M,32.0000,16370.000000000
838,M,27.0000,14233.000000000
839,F,27.0000,17316.000000000
840,M,21.0000,15684.000000000
841,M,45.3333,13920.333333333
842,M,32.0000,11200.000000000
843,M,42.0000,14732.000000000
844,M,24.0000,17138.000000000
845,M,32.0000,17209.000000000
846,M,64.5000,21655.500000000
847,M,57.0000,15904.000000000
848,M,52.0000,13191.000000000
849,M,27.0000,19389.000000000
850,M,37.0000,15465.000000000
851,F,47.0000,24180.000000000
852,M,52.6667,15593.666666666
853,M,21.0000,18616.000000000
854,M,32.0000,18113.666666666
855,M,25.5000,11699.000000000
856,M,32.0000,18740.000000000
857,M,27.5000,19255.250000000
858,M,39.5000,14700.000000000
859,M,57.0000,19448.000000000
860,M,21.0000,15987.000000000
861,M,62.0000,11901.000000000
862,M,33.5000,17073.500000000
863,M,47.0000,18622.000000000
864,M,57.0000,18773.500000000
865,M,37.0000,17819.000000000
866,M,21.0000,13133.000000000
867,M,37.0000,13659.000000000
868,M,47.0000,20881.000000000
869,M,21.0000,21600.000000000
870,M,28.3333,19320.000000000
871,F,27.0000,18579.000000000
872,F,42.0000,23844.000000000
873,F,44.5000,17314.000000000
874,F,43.7000,13291.100000000
875,F,32.0000,13885.000000000
876,F,42.0000,13299.000000000
877,M,27.0000,18066.000000000
878,F,37.0000,21372.250000000
879,M,32.0000,21600.000000000
880,M,42.0000,13785.000000000
881,F,52.0000,15505.000000000
882,M,40.0000,17787.750000000
883,F,39.3333,17638.000000000
884,M,37.0000,14554.000000000
885,M,37.0000,18240.333333333
886,M,27.0000,12952.000000000
887,M,37.0000,14366.000000000
888,M,27.0000,14651.000000000
889,M,42.0000,16644.000000000
891,M,42.0000,17782.333333333
892,F,37.0000,18593.500000000
893,M,62.0000,21203.000000000
894,M,52.0000,16025.666666666
895,F,42.0000,15714.000000000
896,M,34.5000,14044.000000000
897,M,37.0000,14714.000000000
898,M,42.6667,18592.000000000
899,M,27.0000,14331.500000000
900,M,42.0000,17643.000000000
901,M,37.0000,13055.000000000
902,M,21.0000,22061.000000000
903,M,32.0000,16968.666666666
904,F,47.0000,18259.500000000
