5 KM Marche,5
5 km Marche,5
5 km Media Challenge,5
5 km Pneu Patry,5
5 km Poussettes,5
5 km Raquette,5
5 Km Route,5
5 km route,5
5 km Run,5
5 km Run and Walk,5
5 km Run-Walk,5
5 km Sports Experts,5
5 km- Kill the Hill Challenge,5
5 Km- Physio Sante,5
5.5 km,5.5
50 KM,50
50 km,50
50 Miles,80.64
50K,50
50km Classique,skiing
50km Style Libre,cycling
51 KM Classique,skiing
51 km Classique,skiing
51 KM Patin/Skate,cycling
51 KM Style Libre,cycling
5150 Triathlon,Triathlon
51km style libre/ freestyle,cycling
55km Classique,skiing
56 km,56
5i50 Individuel,Triathlon
5K,5
5k,5
5K Course,5
5K Run,5
5K Run - Course de 5K,5
5km,5
5km Course,5
5km Course et Marche,5
5km Marche,5
5km Raquette,5
5km Run,5
5km Run/Walk,5
5km Sports Experts,5
6 km,6
6 KM,6
6 km - Course poussette,6
6 KM Château Mont-Sainte-Anne,6
6 KM MUD RUN AND OBSTACLE COURSE,dont know
6 km Obstacle Course,Triathlon
6 km Obstacle Course and Mud Run,Triathlon
6 km Overall Results,Triathlon
6/40/6 Duathlon,duathlon
60 KM,cycling
60 Km,cycling
60km,cycling
65 KM,65
65 KM - Valeurs mobilières Desjardins,65
6K Obstacle Course,6
6km,6
6km Obstacle Course,dont know
7 km Marche,7
70.3 Results,Triathlon
8 km,8
8 km Run,8
8 km Walk/Run,8
8 km- Kill the Hill Challenge,8
80 km,80
80 KM (50 miles),80
88 km,88
8km,8
8km Run,8
9 KM,9
9 km - trail,9
9 Km Trail,9
9 km trail,9
90 km,cycling
93 km,cycling
AG Duathlon Sprint,duathlon
AG et CF Triathlon Sprint,Triathlon
AG Sprint Duathlon,DISTANCE
AMJ Campbell Full Marathon,42
Auto Value Hyundai Half-Marathon Run,21
Barbados 5km,5
Barrelman Half Iron Triathlon,Triathlon
Canada Day 5k,5
Canadian 5km Road Race Championship,5
Canadian Sprint Distance Championships,dont know
Challenge,dont know
Challenge Marathon,42
Challenge O2,Triathlon
Co operators 5km,5
Combo 10km et 5km,dont know
Competitif,dont know
Coupe des Maitres - Poursuite Finale,dont know
COUPE DU QUEBEC Duathlon SPRINT,duathlon
COUPE DU QUEBEC Triathlon SPRINT ELITE,Triathlon
COUPE DU QUEBEC Triathlon Sprint Riviere,Triathlon
Coure 10 Km,10
Course 10 km,10
Course 5 km,5
Course a pied - 10 km,10
Course des jeunes Tanguay,kids
Course des Jeunes Tanguay,kids
Courte Distance - Individuel,dont know
Cross Country - 4 km,4
Cross Country - 8 km,8
Cross-Country - 2 km,2
Cross-Country - 4 km,4
Cross-Country - 8 km,8
Cross-Country 4 km,4
Cyclosportive 105 km,cycling
Cyclosportive 60 km,cycling
Defi 50km Combinee,cycling
Defi Asics 10km Course,cycling
Defi Asics 21.1 km Course,cycling
Defi Asics 5km Course,cycling
Defi Courte Distance- Solo,cycling
Defi des Entreprises,cycling
Defi Des Entreprises,cycling
Defi Longue Distance - Solo,cycling
Defi Super Sprint,cycling
Demi Esprit,cycling
Demi Marathon,21
Demi marathon,21
Demi Marathon 21.1km,21.1
Demi Marathon Course,21
Demi Marathon Marche,21.1
Demi Marathon Podiatre Elizabeth,21.1
Demi- Esprit,Triathlon
Demi-Marathon,21
Demi-marathon,21
DEMI-MARATHON,21
Demi-marathon 21.1 km,21.1
DEMI-MARATHON 21.1 KM,21.1
Demi-Marathon du crepuscule - 10 km,10
Demi-Marathon du crepuscule - 21 km (19.5 km),21
Demi-marathon Podiatre Elizabeth,21.1
Duathlon,
Duathlon - Competitif,duathlon
Duathlon - Coupe du Quebec,duathlon
Duathlon Competition,duathlon
Duathlon Compétition,duathlon
Duathlon Individuel,duathlon
Duathlon Olympique,duathlon
Duathlon Olympique Individuel,duathlon
Duathlon sprint,duathlon
Duathlon Sprint,duathlon
Duathlon Sprint avec sillonnage,duathlon
Duathlon sprint Championnat Provincial,duathlon
Duathlon Sprint sans sillonnage,duathlon
Défi 12 km Le Coureur nordique,12
Défi 18 km Le Coureur nordique,18
Défi 6 km Le Coureur nordique,6
Défi 9 km trail + 20 km,29
Défi Corporatif BCF,dont know
Défi courte distance Merrell - Solo,dont know
Défi Oasis,dont know
Esprit,Triathlon
Extreme 8,8
Friendly Massey Marathon,42
Full Ironman Overall,Triathlon
Full Marathon,42
Funnybone Run 5K,5
Give-It-A-Tri,dont know
GoodLife Fitness 10k,10
Goodlife Fitness 10km,10
GORE-TEX 50 MILE,80
Gore-Tex 80K,80
GRAN FONDO,cycling
Gran Fondo,cycling
Grand Fondo Gatineau 111.8 Km,cycling
Grand Trail,cycling
Grand Trail - 18 Km,cycling
Granfondo - 100 km,cycling
GranFondo - 122 km,cycling
Grimpeur,escalators
Grimpeurs,escalators
Groupes d'ages,dont know
Groupes d'âges,dont know
Half Iron,Triathlon
Half Iron Distance Triathlon,Triathlon
Half Iron Triathlon,Triathlon
Half Marathon,21
Half Marathon - Demi Marathon,21
Half Marathon Changed to 12.3K,12.3
Half Marathon Run,21.1
Half Triathlon,Triathlon
Half-Marathon,21
HTG Sports 5K,5
Individual,dont know
Individual Results,dont know
Individuel,dont know
Intermediaire,dont know
Iron 113 Triathlon,Triathlon
Iron 226 Duathlon,duathlon
Iron 226 SwimCycle,swimming
Iron 226 Triathlon,Triathlon
Ironman,Triathlon
Ironman 5150- Triathlon Olympique,Triathlon
Ironman 70.3,Triathlon
Ironman 70.3 Monterrey Results,Triathlon
Ironman Los Cabos Results,Triathlon
Jack Wahlberg 20 km Classique,skiing
Jack Wahlberg 20 km classique,skiing
Jack Wahlberg 20km Classique,skiing
Jan Nordstrom 10 km Classique,skiing
Jan Nordstrom 10 km classique,skiing
JAN NORDSTROM 10KM CLASSIQUE,skiing
Jan Nordstrom 10km Classique,skiing
Johnson 5km,skiing
Jour 1 - 20 km Classique,cycling
Jour 2 - 22 km Patin/Style Libre,cycling
King / Queen of the Mountain,dont know
KING OF THE MOUNTAIN,dont know
Le Defi Oasis,dont know
Le Super Defi,dont know
Long Course,dont know
Long Course Duathlon,duathlon
Long Course Triathlon,Triathlon
Long Duathlon,duathlon
Long Triathlon,Triathlon
Long Triathon,Triathlon
Longue Distance - Individuel,dont know
Lowertown Brewery Ottawa 10K,10
Marathon,42
Marathon Beauceron,42
Medio Fondo,cycling
Medio Fondo Gatineau 69 Km,cycling
Meilleur grimpeur,dont know
Mercedes-Benz Oakville 10k,dont know
Mini Triathlon,Triathlon
Mini triathlon,Triathlon
Minto Chapman Mills 10km,10
MNP 10KM Run,10
Nage 2 km,2
Nage 5 km,5
Nage Velo Initiation,
Nutrience Half Marathon,21.1
Nutrience Half Marathon Run,21.1
Olympic,Triathlon
Olympic Distance Triathlon,Triathlon
Olympic Duathlon,duathlon
Olympic Triathlon,Triathlon
Ottawa 10K,10
Ottawa 2K,2
Ottawa 5K,5
Ottawa Half Marathon,21
Ottawa Half-Marathon - Demi-marathon,21
Ottawa Marathon,42
Ottawa Marathon- Shortened Race,dont know
Overall,Triathlon
Overall 70.3,Triathlon
Overall Results,Triathlon
Overall Results - Full 140.6 Distance,Triathlon
Overall Results - Shortened Race,Triathlon
P'tit Marathon 1 km Tel-Jeunes,1
Patin - Marathon 25 km,25
Pentathlon Volet Individuel - Courte Distance,dont know
Pentathlon Volet Individuel - Long Distance,dont know
Pentathlon Volet Individuel - Short Distance,dont know
Petit Trail Oasis - 8 Km,8
Piccolo Fondo (80 KM),cycling
Piccolo Fondo 108km,cycling
QC Duathlon Olympique,duathlon
QC et CFNC Triathlon olympique,Triathlon
QC et CFNC Triathlon Olympique,Triathlon
RE/MAX Qunite Half Marathon,21.1
Recharge with Milk Half Marathon,21
Recharge with Milk Half Marathon Run,21.1
Resultats,dont know
Running Room 21.1K Run,21.1
Saskatchewan Credit Unions 42.2K Run,42.2
Scotiabank Full Marathon,42
Scotiabank Ottawa Half Marathon,21
Scotiabank Ottawa Marathon,42
Senior Men 3,dont know
Short Course,dont know
Short Course Duathlon,duathlon
Short Course- By Prediction,dont know
Short Course- By Time,dont know
Short Duathlon,dont know
Siskinds Half Marathon Run,21.1
Skiathlon - 2 x 6 km Solo,dont know
Smith-Johannsen 33 km Classique,dont know
Smith-Johannsen 33 km classique,dont know
Smith-Johannsen 33km Classique,dont know
SMITH-JOHANNSEN 33KM CLASSIQUE,dont know
Sprint,dont know
Sprint Duathlon,duathlon
Sprint Individuel,dont know
Sprint Triathlon,Triathlon
Sprinteur,escalators
Sprinteurs,escalators
Sprintman (20 Top Hommes et 20 Top Femmes),dont know
Standard Distance Championships,dont know
Super Défi,dont know
Super Sprint Triathlon,Triathlon
SuperSprint Triathlon,Triathlon
SWIMRUN Standard,duathlon
The Canadian Evening Half-Marathon,21.1
The Canadian Iron 113 Triathlon,Triathlon
The Canadian Iron 226 Triathlon,Triathlon
The Canadian Olympic Triathlon,Triathlon
The Canadian Sprint Triathlon,Triathlon
Timberman Sprint Triathlon,Triathlon
Tinman Triathlon,Triathlon
TRAIL RUN 10 KM,10
TRANS EXPRESS,dont know
TRANS VALLEE,dont know
TRANS-EXPRESS,dont know
TRANS-VALLEE,dont know
Traversee Lac des Sables - 5 km,5
Tri-Neo,dont know
Triahtlon,Triathlon
Triathlon,Triathlon
Triathlon - Sprint,Triathlon
Triathlon 1/2 Longue Distance,Triathlon
Triathlon 105-40-10,Triathlon
Triathlon 16+,Triathlon
Triathlon 60-40-5,Triathlon
Triathlon Association Pulmonaire,Triathlon
Triathlon d'hiver,Triathlon
Triathlon d'hiver - Groupes d'âges,Triathlon
Triathlon d'hiver Sprint,Triathlon
Triathlon D3couverte,Triathlon
Triathlon Demi Ironman,Triathlon
Triathlon Demi Longue Distance Championnat Provincial,Triathlon
Triathlon Demi-Esprit,Triathlon
Triathlon Endurance Aventure Offshore,Triathlon
Triathlon Endurance Aventure Sprint,Triathlon
Triathlon format classique,Triathlon
Triathlon format ITU,Triathlon
Triathlon Groupe D'age,Triathlon
Triathlon Initiation,Triathlon
Triathlon initiation - 10-99 ans,Triathlon
Triathlon Longue Distance,Triathlon
Triathlon Nordique Competitif Individuel,Triathlon
Triathlon Nordique Individuel,Triathlon
Triathlon O2,Triathlon
Triathlon Olympique,Triathlon
Triathlon Olympique - Championnat Provincial,Triathlon
Triathlon Olympique - Coupe Québec,Triathlon
Triathlon Olympique - Ouvert,Triathlon
Triathlon Olympique - Wetsuit,Triathlon
Triathlon Olympique Individuel,Triathlon
Triathlon olympique qualification mondiaux 2017,Triathlon
Triathlon Sprint,Triathlon
Triathlon sprint,Triathlon
Triathlon sprint - Coupe du Québec,Triathlon
Triathlon Sprint - Coupe du Québec et Forces Canadiennes,Triathlon
Triathlon sprint - Grand Prix,Triathlon
Triathlon sprint - Grand Prix Championnat Provincial,Triathlon
Triathlon sprint - Ouvert,Triathlon
Triathlon Sprint - Sans Sillonnage,Triathlon
Triathlon Sprint - Sillonnage,Triathlon
Triathlon sprint AG Coupe du Québec,Triathlon
Triathlon sprint AG Ouvert,Triathlon
Triathlon Sprint Ouvert,Triathlon
Triathlon sprint élites,Triathlon
Triathlon Série Grand Prix - Demi-Finale,Triathlon
Triathlon Série Grand Prix - Finale A,Triathlon
Triathlon Série Grand Prix - Finale B,Triathlon
Try A Tri,dont know
Try-a-Tri (Triathlon Initiation),dont know
Turkey Challenge,dont know
UPS 10 km,10
uthc10,dont know
uthc125,125
uthc28,28
uthc65,65
uthc80,80
Vittoria Trattoria Half Marathon,21.1
Winterlude Triathlon,Triathlon
Wishbone Race 10K,10
XTERRA court,swimming
XTERRA LONG,swimming
