Participant Id,Gender,Age,TimeOfCompletion
248.0,F,42.0,17830.0
248.0,F,44.5,15230.3492
249.0,F,27.0,21600.0
249.0,F,27.0,14175.4322
249.0,F,27.0,15479.0
250.0,F,27.0,15134.0
251.0,M,52.0,21482.8067
252.0,F,42.0,15264.0
253.0,M,47.0,14195.1872
254.0,M,32.0,17506.0
255.0,M,21.0,19844.0
256.0,M,42.0,18590.0
257.0,F,44.5,14795.7392
257.0,F,42.0,16438.0
258.0,M,47.0,12051.7697
258.0,M,52.0,21600.0
258.0,M,52.0,12290.8052
258.0,M,52.0,11769.2732
258.0,M,52.0,13623.0
258.0,M,52.0,13997.0
259.0,M,44.5,13148.1722
259.0,M,42.0,13525.4927
259.0,M,37.0,13948.2497
259.0,M,42.0,16740.0
259.0,M,42.0,21600.0
260.0,M,21.0,20654.0
260.0,M,21.0,19852.0
261.0,F,52.0,24033.0
261.0,F,52.0,20933.0
262.0,M,47.0,17428.0
263.0,M,21.0,17506.0
264.0,M,32.0,18392.0
265.0,M,37.0,15458.0
265.0,M,37.0,14515.0
266.0,M,62.0,15814.0
266.0,M,62.0,17219.0
267.0,M,42.0,21600.0
268.0,M,16.0,21757.0
269.0,M,27.0,12640.0
270.0,M,47.0,14408.5412
270.0,M,44.5,15453.5807
270.0,M,42.0,21600.0
270.0,M,44.5,13284.4817
270.0,M,47.0,15450.0
270.0,M,42.0,13734.8957
271.0,M,32.0,28333.8407
272.0,M,32.0,14461.0
273.0,M,57.0,17357.9627
274.0,M,17.5,14499.4142
274.0,M,16.0,13563.0272
274.0,M,21.0,14666.0
275.0,M,62.0,13597.0
275.0,M,62.0,21600.0
276.0,F,52.0,17663.0
277.0,M,52.0,18346.0
278.0,M,37.0,11888.0
279.0,M,42.0,11820.6362
280.0,M,52.0,15640.0
281.0,M,32.0,15737.0
282.0,M,42.0,21600.0
282.0,M,37.0,21600.0
282.0,M,37.0,13194.0
282.0,M,34.5,11816.0
282.0,M,37.0,12778.0
282.0,M,37.0,21600.0
282.0,M,37.0,21600.0
283.0,M,21.0,18052.0
284.0,F,32.0,14957.7302
284.0,F,37.0,14849.0777
284.0,F,37.0,17856.0
285.0,M,52.0,18477.0
286.0,M,57.0,21600.0
286.0,M,57.0,21600.0
286.0,M,57.0,15438.0
286.0,M,57.0,13142.2457
287.0,M,42.0,12651.0
288.0,M,37.0,12355.0
289.0,M,37.0,21600.0
290.0,M,57.0,17053.0
291.0,M,44.5,15001.1912
291.0,M,44.5,14586.3362
291.0,M,52.0,16807.0
293.0,M,21.0,16471.0
294.0,M,52.0,17518.0
295.0,F,32.0,19033.0
296.0,M,42.0,14524.0
296.0,M,42.0,14335.0
297.0,M,27.0,19775.9747
298.0,M,37.0,15777.0
299.0,F,52.0,18790.0
299.0,F,52.0,18574.8707
300.0,M,27.0,21170.6777
301.0,F,32.0,16985.0
302.0,M,22.0,10346.9132
302.0,M,22.0,21600.0
302.0,M,23.5,18300.2762
302.0,M,32.0,15459.5072
302.0,M,32.0,21600.0
303.0,M,54.5,14586.3362
303.0,M,52.0,18077.0
304.0,M,27.0,19319.0
305.0,M,21.0,14887.0
306.0,M,37.0,16603.0
307.0,M,21.0,13460.0
307.0,M,21.0,13810.0
308.0,M,37.0,16600.0
309.0,M,37.0,15170.0
310.0,F,21.0,14542.8752
310.0,F,21.0,17110.0
312.0,F,27.0,15413.0
313.0,M,42.0,22291.0
314.0,M,42.0,11495.0
315.0,M,27.0,12502.1837
315.0,M,32.0,13110.0
315.0,M,27.0,21600.0
315.0,M,27.0,21600.0
315.0,M,27.0,14673.2582
315.0,M,27.0,13466.2277
315.0,M,27.0,13361.0
316.0,M,42.0,19715.0
316.0,M,37.0,15686.6897
317.0,F,42.0,16909.0
317.0,F,44.5,16792.9697
317.0,F,37.0,15335.0507
317.0,F,37.0,16534.1792
318.0,M,37.0,17252.0
319.0,M,42.0,12160.0
319.0,M,42.0,12486.0
319.0,M,42.0,21600.0
319.0,M,42.0,12342.0
320.0,M,37.0,15292.0
321.0,M,42.0,13549.0
321.0,M,42.0,12686.0
321.0,M,42.0,13354.0
322.0,M,37.0,15986.9657
322.0,M,37.0,21600.0
322.0,M,34.5,16988.5442
322.0,M,34.5,14880.6857
322.0,M,34.5,21600.0
322.0,M,34.5,15135.5252
322.0,M,37.0,21600.0
322.0,M,37.0,15080.0
322.0,M,34.5,15018.9707
322.0,M,37.0,13888.9847
322.0,M,34.5,13894.9112
322.0,M,34.5,15706.4447
323.0,M,37.0,11723.8367
323.0,M,32.0,11830.0
323.0,M,37.0,11820.6362
323.0,M,37.0,11834.4647
323.0,M,37.0,21600.0
323.0,M,37.0,21600.0
323.0,M,37.0,21600.0
323.0,M,37.0,11846.3177
323.0,M,32.0,11893.7297
324.0,F,21.0,19823.3867
326.0,M,42.0,21479.0
327.0,F,37.0,18730.0
327.0,F,34.5,21600.0
327.0,F,37.0,16613.1992
328.0,M,32.0,16054.1327
328.0,M,32.0,17249.3102
328.0,M,32.0,23544.0
329.0,M,37.0,16336.0
330.0,M,21.0,17187.0
331.0,M,22.0,11688.2777
331.0,M,22.0,21600.0
331.0,M,22.0,12798.5087
331.0,M,22.0,21600.0
331.0,M,27.0,21600.0
331.0,M,22.0,12415.2617
331.0,M,22.0,15869.0
331.0,M,27.0,21600.0
331.0,M,21.0,13782.0
332.0,F,44.5,16196.3687
332.0,F,44.5,16316.8742
332.0,F,44.5,19064.7947
332.0,F,42.0,15961.2842
332.0,F,44.5,19935.9902
332.0,F,42.0,21600.0
332.0,F,44.5,19378.8992
332.0,F,44.5,15933.6272
332.0,F,44.5,15694.0
332.0,F,42.0,15844.7297
332.0,F,42.0,21600.0
332.0,F,42.0,16084.0
332.0,F,44.5,18478.0712
332.0,F,44.5,16429.4777
332.0,F,42.0,16115.3732
332.0,F,44.5,16399.8452
332.0,F,44.5,20204.6582
332.0,F,42.0,15921.7742
332.0,F,42.0,19013.4317
332.0,F,44.5,15890.1662
332.0,F,44.5,16613.1992
332.0,F,44.5,16071.9122
332.0,F,44.5,17498.2232
332.0,F,44.5,21600.0
333.0,M,32.0,11385.0
333.0,M,32.0,11011.0
334.0,M,37.0,12535.7672
334.0,M,37.0,13817.0
335.0,M,42.0,18218.0
335.0,M,42.0,16226.0012
335.0,M,44.5,15109.8437
335.0,M,42.0,13659.8267
336.0,M,47.0,17451.0
336.0,M,47.0,21194.0
337.0,M,42.0,11959.0
337.0,M,42.0,11792.9792
337.0,M,42.0,12270.0
338.0,M,57.0,15609.6452
339.0,M,32.0,15632.0
340.0,M,27.0,17867.6417
341.0,F,37.0,13055.3237
341.0,F,37.0,13744.0
342.0,M,57.0,13962.0
342.0,M,54.5,13609.0
342.0,M,57.0,21600.0
342.0,M,57.0,21600.0
342.0,M,57.0,13559.0
343.0,M,27.0,11902.0
343.0,M,27.0,11885.0
344.0,M,32.0,14987.3627
344.0,M,32.0,16219.0
344.0,M,34.5,15267.8837
345.0,F,27.0,14244.5747
345.0,F,32.0,15261.9572
345.0,F,27.0,11557.8947
345.0,F,27.0,14149.7507
345.0,F,27.0,14836.0
346.0,M,27.0,17682.0
347.0,M,52.0,19914.0
348.0,F,21.0,24759.0
348.0,F,21.0,14951.8037
348.0,F,21.0,18094.8242
349.0,M,34.5,21210.1877
349.0,M,32.0,12136.7162
349.0,M,34.5,23025.6722
349.0,M,32.0,14118.1427
349.0,M,32.0,15043.0
349.0,M,32.0,13723.0427
350.0,M,37.0,13208.0
350.0,M,37.0,13440.0
350.0,M,34.5,13353.6242
351.0,M,27.0,16625.0522
352.0,M,37.0,15014.0
353.0,F,24.5,18825.7592
353.0,F,21.0,25523.0
353.0,F,21.0,27519.0
353.0,F,24.5,18509.6792
353.0,F,24.5,20674.8272
354.0,M,57.0,13221.0
355.0,M,47.0,15283.6877
355.0,M,47.0,17819.0
355.0,M,42.0,14074.6817
356.0,M,37.0,17465.0
357.0,M,37.0,14353.2272
357.0,M,37.0,13738.0
358.0,M,57.0,13270.0
358.0,M,54.5,13286.4572
359.0,M,37.0,12087.3287
359.0,M,37.0,11761.3712
359.0,M,37.0,13902.8132
359.0,M,37.0,13775.0
359.0,M,34.5,11937.1907
360.0,M,32.0,17576.0
362.0,M,27.0,16476.0
363.0,F,37.0,15212.5697
363.0,F,37.0,16120.0
364.0,F,37.0,13812.0
364.0,F,37.0,21600.0
364.0,F,37.0,13721.0672
365.0,M,21.0,24507.2972
367.0,M,32.0,21600.0
367.0,M,32.0,12978.2792
368.0,M,42.0,16962.0
369.0,M,32.0,14352.0
370.0,M,37.0,17718.0
371.0,M,44.5,13225.2167
371.0,M,44.5,13616.3657
371.0,M,47.0,13900.8377
371.0,M,42.0,14058.0
372.0,F,37.0,22804.0
372.0,F,37.0,16067.9612
373.0,F,57.0,19301.0
374.0,M,44.5,13049.3972
374.0,M,42.0,12790.6067
375.0,M,32.0,15082.0
376.0,M,27.0,12256.0
377.0,M,62.0,12285.0
378.0,M,32.0,19927.0
379.0,M,57.0,18607.0
379.0,M,57.0,21515.0
379.0,M,57.0,15597.0
379.0,M,57.0,17789.0
380.0,M,32.0,23626.0
381.0,M,37.0,17595.0
382.0,M,47.0,19577.0
383.0,F,27.0,21600.0
383.0,F,27.0,21600.0
383.0,F,27.0,16865.0
384.0,M,54.5,9800.0
384.0,M,52.0,9837.2342
384.0,M,47.0,9536.9582
384.0,M,44.5,10032.8087
384.0,M,44.5,9950.0
384.0,M,52.0,21600.0
384.0,M,44.5,9995.2742
384.0,M,52.0,21600.0
384.0,M,44.5,9879.0
384.0,M,47.0,9413.0
384.0,M,44.5,10052.5637
384.0,M,47.0,9568.5662
384.0,M,54.5,21600.0
384.0,M,47.0,10048.0
384.0,M,44.5,9941.9357
384.0,M,44.5,9428.3057
384.0,M,52.0,21600.0
384.0,M,44.5,9501.3992
384.0,M,54.5,10206.6527
384.0,M,47.0,21600.0
384.0,M,44.5,9829.0
384.0,M,52.0,9718.7042
384.0,M,44.5,9712.7777
384.0,M,44.5,9718.7042
384.0,M,44.5,9596.2232
384.0,M,44.5,9696.9737
384.0,M,44.5,9667.3412
384.0,M,44.5,9959.7152
384.0,M,44.5,9795.7487
384.0,M,47.0,21600.0
384.0,M,52.0,9495.4727
384.0,M,47.0,9474.0
384.0,M,54.5,9825.3812
384.0,M,44.5,9762.1652
385.0,M,52.0,21600.0
385.0,M,52.0,18383.2472
386.0,M,21.0,16148.9567
387.0,M,47.0,13477.0
387.0,M,44.5,14351.2517
387.0,M,47.0,21600.0
387.0,M,-1.0,13059.2747
387.0,M,47.0,21600.0
387.0,M,-1.0,12808.3862
387.0,M,47.0,21600.0
387.0,M,47.0,15320.0
387.0,M,47.0,14495.4632
388.0,M,47.0,22774.7837
389.0,M,27.0,18260.0
390.0,M,42.0,16468.9877
391.0,M,32.0,21600.0
392.0,M,37.0,12251.2952
393.0,F,42.0,13914.0
394.0,M,67.0,14402.0
394.0,M,55,13053.3482
394.0,M,67.0,12431.0657
395.0,F,42.0,25591.8467
396.0,M,47.0,11968.0
397.0,F,42.0,14943.0
398.0,M,21.0,12857.0
398.0,M,22.0,13618.0
399.0,F,32.0,17713.0
400.0,M,52.0,21157.0
401.0,F,32.0,17652.0
401.0,F,-1,13796.1362
402.0,M,27.0,10740.0377
403.0,M,34.5,15200.7167
403.0,M,37.0,16058.0
404.0,M,42.0,14098.3877
404.0,M,42.0,12227.5892
404.0,M,42.0,12942.0
405.0,M,21.0,14892.5387
405.0,M,21.0,14801.0
406.0,M,37.0,21613.0
407.0,M,37.0,14565.0
408.0,M,42.0,16402.0
409.0,M,27.0,23819.0
409.0,M,27.0,30579.9842
410.0,M,24.5,13246.9472
410.0,M,27.0,13343.0
410.0,M,27.0,13338.0
410.0,M,27.0,11627.0372
410.0,M,27.0,21600.0
410.0,M,27.0,21600.0
410.0,M,27.0,12282.9032
410.0,M,27.0,11852.2442
411.0,M,44.5,14455.9532
411.0,M,42.0,16826.0
412.0,F,44.5,15984.0
412.0,F,47.0,18689.4497
412.0,F,47.0,15151.0
413.0,M,42.0,23156.0
414.0,M,47.0,12598.9832
414.0,M,47.0,14355.0
415.0,M,54.5,12197.9567
415.0,M,52.0,11879.9012
415.0,M,47.0,12032.0
415.0,M,47.0,21600.0
416.0,M,44.5,14793.7637
416.0,M,54.5,14959.7057
416.0,M,47.0,18632.0
417.0,M,27.0,15850.0
418.0,M,32.0,13702.0
419.0,M,27.0,12919.0142
419.0,M,32.0,21600.0
419.0,M,32.0,12759.0
419.0,M,32.0,12975.0
419.0,M,34.5,11834.4647
419.0,M,27.0,12184.1282
419.0,M,27.0,21600.0
419.0,M,27.0,13393.1342
419.0,M,32.0,21600.0
420.0,M,42.0,14001.5882
420.0,M,42.0,15586.0
420.0,M,47.0,21600.0
420.0,M,42.0,18117.0
420.0,M,42.0,19676.0
421.0,M,54.5,16542.0812
421.0,M,54.5,15848.6807
421.0,M,52.0,18499.0
421.0,M,54.5,17058.0
421.0,M,52.0,21600.0
421.0,M,54.5,16813.0
421.0,M,54.5,16107.4712
