,PARTICIPANT ID,EVENT DATE,EVENT NAME,EVENT TYPE,TIME,CATEGORY
46,46,2016-04-24,Banque Scotia 21K de Montreal,Demi Marathon,-1,F50-54
47,47,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:18:21,F30-34
48,48,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:23:30,M60-64
49,49,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:31:04,M40-44
50,50,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:53:51,M45-49
51,51,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:19:55,F25-29
52,52,2013-06-29,Tupper Lake Tinman Triathlon,Tinman Triathlon,05:22:47,M25-29
53,53,2016-04-24,Banque Scotia 21K de Montreal,Demi Marathon,-1,M30-34
54,54,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:34:13,F35-39
55,55,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:50:23,F30-34
56,56,2016-06-19,Ironman 70.3 Syracuse,Overall,05:48:46,M30-34
57,57,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:45:55,M30-34
58,58,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:32:51,F25-29
59,59,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:10:03,M25-29
60,60,2012-09-23,Marathon Oasis de Montreal,Marathon,03:46:04,M30-34
61,61,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:49:07,M25-29
62,62,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:22:33,M40-44
63,63,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:50:04,F30-34
64,64,2014-04-27,Banque Scotia 21km et 5km,21 km,01:36:54,M35-39
65,65,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:38:44,M45-49
66,66,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:43:26,M50-54
67,67,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:52:22,F18-24
68,68,2013-09-22,Marathon Oasis de Montreal,Marathon,05:10:56,M45-49
69,69,2013-08-10,SeaWheeze Half Marathon,Half Marathon,01:40:29,MALE
70,70,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:54:42,M25-29
71,71,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:47:36,M40-44
72,72,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:26:44,F35-39
73,73,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:49:56,M40-44
74,74,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:54:25,M25-29
75,75,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:45:33,M35-39
76,76,2016-06-19,Courses Thematiques Tour du Lac Brome Merrell,20 km,01:50:18,NO AGE
77,77,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:50:23,F50-54
78,78,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:28:30,F35-39
79,79,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:38:11,M50-54
80,80,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,07:38:30,F50-54
81,81,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,-1,M30-34
82,82,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:49:42,M50-54
83,83,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,02:06:52,M40-44
84,84,2014-09-06,Triathlon Esprit de Montreal,Demi Esprit,05:52:14,F25-29
85,85,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:11:54,M50-54
86,86,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,07:12:49,M30-34
87,87,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 km,01:07:35,F35-39
88,88,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,5 km,00:54:26,F35-39
89,89,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:35:43,M30-34
90,90,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:34:42,M40-44
91,91,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:30:33,M40-44
92,92,2015-04-26,Banque Scotia 21K de Montreal,Demi Marathon,02:09:49,M45-49
93,93,2014-08-24,Marathon SSQ Lévis-Québec,Marathon,-1,M50-59
94,94,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:30:23,F40-44
95,95,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 km,01:22:27,F30-34
96,96,2015-09-20,Army Run - Course de l'Armée,5 km,00:37:58,M55-59
97,97,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:45:15,M35-39
98,98,2012-09-23,Marathon Oasis de Montreal,Marathon,04:45:35,M40-44
99,99,2016-04-30,Marathon des Érables,Marathon,05:03:16,M30-39
100,100,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:17:29,F45-49
101,101,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:19:17,M18-24
102,102,2013-09-22,Marathon Oasis de Montreal,Marathon,04:57:53,M45-49
103,103,2015-10-03,Cross-Country Saint-Laurent Select,6km,00:27:30,M30-39
104,104,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:06:59,F45-49
105,105,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:02:47,F25-29
106,106,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:00:56,F18-24
107,107,2012-09-23,Marathon Oasis de Montreal,Marathon,04:01:46,M45-49
108,108,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,03:51:16,M25-29
109,109,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:52:00,M50-54
110,110,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:05:36,M18-24
111,111,2013-09-22,Marathon Oasis de Montreal,Marathon,03:41:00,F30-34
112,112,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,03:49:14,F25-29
113,113,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:56:24,M35-39
114,114,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,M45-49
115,115,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:31:53,M35-39
116,116,2013-09-22,Marathon Oasis de Montreal,Marathon,04:15:38,F55-59
117,117,2016-07-15,Demi-Marathon de la Bande du Canal,5 km,-1,M40-49
118,118,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:27:32,F18-24
119,119,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:42:45,M50-54
120,120,2016-05-08,DÉFI GÉRARD-CÔTÉ,5 km Course/Marche,00:35:51,F30-39
121,121,2016-06-25,Mud Hero Montreal,6km Obstacle Course,01:15:57,M40-44
122,122,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 km,00:48:48,M30-34
123,123,2013-09-22,Marathon Oasis de Montreal,Marathon,04:33:54,F45-49
124,124,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:07:51,F45-49
125,125,2013-09-22,Marathon Oasis de Montreal,Marathon,03:39:01,M35-39
126,126,2013-09-22,Marathon Oasis de Montreal,Marathon,04:02:10,M30-34
127,127,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:39:54,M55-59
128,128,2013-09-22,Marathon Oasis de Montreal,Marathon,04:23:32,F18-24
129,129,2016-09-11,Triathlon Esprit de Montreal,Triathlon Olympique,-1,M45-49
130,130,2012-09-23,Marathon Oasis de Montreal,Marathon,03:27:17,M30-34
131,131,2013-09-22,Marathon Oasis de Montreal,Marathon,04:26:15,M30-34
132,132,2016-05-08,Au rythme de nos foulées Châteauguay,Demi-Marathon,02:12:25,F50-59
133,133,2013-09-22,Marathon Oasis de Montreal,Marathon,03:53:11,M25-29
134,134,2013-09-22,Marathon Oasis de Montreal,Marathon,03:52:01,M50-54
135,135,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:58:52,M25-29
136,136,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,1 km - P'tit Marathon,00:08:23,M13+
137,137,2016-08-21,Vert le Raid - XC de la Vallee,21 KM,03:50:00,M30-39
138,138,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:56:24,M40-44
139,139,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:19:51,M60-64
140,140,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:33:01,F40-44
141,141,2012-09-23,Marathon Oasis de Montreal,Marathon,04:18:31,M45-49
142,142,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:08:05,F35-39
143,143,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:49:20,M18-24
144,144,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:09:20,M35-39
145,145,2014-10-12,Ottawa Fall Colours Marathon Events,Full Marathon,03:31:50,M30-34
146,146,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:03:29,M25-29
147,147,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:05:53,M18-24
148,148,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:57:54,M50-54
149,149,2012-09-23,Marathon Oasis de Montreal,Marathon,02:59:03,M40-44
150,150,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,02:43:45,M50-54
151,151,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:00:12,M18-24
152,152,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:38:36,F18-24
153,153,2015-05-03,Demi-marathon international Oasis de Lévis,Demi-marathon,-1,M40-49
154,154,2016-06-18,Tour du Cap Tourmente Simard,21.1 KM,02:06:59,M30-39
155,155,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:18:41,M25-29
156,156,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:34:39,F40-44
157,157,2016-03-20,Course et marche populaires de LaSalle,10 KM,00:43:34,M40-49
158,158,2015-11-08,DEMI-MARATHON DES MICROBRASSERIES,10 KM,00:59:55,M30-39
159,159,2013-09-22,Marathon Oasis de Montreal,Marathon,05:56:04,M25-29
160,160,2012-09-23,Marathon Oasis de Montreal,Marathon,02:18:43,M30-34
161,161,2015-06-27,Toughman Tupper Lake Tinman,Sprint Triathlon,02:15:54,F20-29
162,162,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:58:49,F35-39
163,163,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,-1,M40-44
164,164,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:21:22,M50-54
165,165,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:33:44,M30-34
166,166,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:02:12,M40-44
167,167,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:29:15,F60-64
168,168,2014-02-16,Demi Marathon Hypothermique,Demi-marathon,02:46:41,M40-49
169,169,2013-09-22,Marathon Oasis de Montreal,Marathon,03:46:33,M25-29
170,170,2016-06-25,Toughman Tupper Lake Tinman,Sprint Triathlon,01:30:51,M30-39
171,171,2013-09-22,Marathon Oasis de Montreal,Marathon,04:15:35,M50-54
172,172,2013-09-22,Marathon Oasis de Montreal,Marathon,02:57:55,M35-39
173,173,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:50:48,M40-44
174,174,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:40:45,F45-49
175,175,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:28:48,M25-29
176,176,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:02:45,M40-44
177,177,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 km,01:06:15,F25-29
178,178,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:40:57,M30-34
179,179,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,1 km - P'tit Marathon,00:05:21,F13+
180,180,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:58:56,M30-34
181,181,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:49:46,M45-49
182,182,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:08:25,F50-54
183,183,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:36:00,M65-69
184,184,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:32:49,M25-29
185,185,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:55:13,F40-44
186,186,2016-04-24,Banque Scotia 21K de Montreal,Demi Marathon,-1,M35-39
187,187,2013-09-22,Marathon Oasis de Montreal,Marathon,-1,M45-49
188,188,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:15:44,M18-24
189,189,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,-1,M55-59
190,190,2016-09-10,Ultra-Trail Harricana du Canada (UTHC),uthc28,-1,F30-39
191,191,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:47:17,M40-44
192,192,2015-05-24,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,M40-44
193,193,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:22:13,M40-44
194,194,2012-09-23,Marathon Oasis de Montreal,Marathon,03:53:03,M25-29
195,195,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:17:38,M18-24
196,196,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:04:07,M40-44
197,197,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,01:59:43,M35-39
198,198,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:46:51,F40-44
199,199,2013-09-22,Marathon Oasis de Montreal,Marathon,04:19:38,F45-49
200,200,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:14:15,M40-44
201,201,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 km,01:25:45,M45-49
202,202,2016-08-28,Marathon SSQ Lévis-Québec,Marathon,-1,M55-59
203,203,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,10 km,00:56:42,M30-34
204,204,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:07:21,M40-44
205,205,2016-05-29,Tamarack Ottawa Race Weekend,Ottawa Marathon,-1,M45-49
206,206,2013-09-22,Marathon Oasis de Montreal,Marathon,03:57:36,F50-54
207,207,2016-08-28,Marathon SSQ Lévis-Québec,Marathon,-1,M45-49
208,208,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:20:55,M35-39
209,209,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,03:28:19,F40-44
210,210,2013-09-22,Marathon Oasis de Montreal,Marathon,04:13:36,F35-39
211,211,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,03:07:30,F18-24
212,212,2014-02-16,Demi Marathon Hypothermique,Demi-marathon,02:02:44,M40-49
213,213,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:52:17,M30-34
214,214,2013-09-22,Marathon Oasis de Montreal,Marathon,04:14:55,F25-29
215,215,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:31:09,F50-54
216,216,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:20:30,M18-24
217,217,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:28:19,M30-34
218,218,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:37:35,F35-39
219,219,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:02:37,F35-39
220,220,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:10:19,F25-29
221,221,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:21:26,M40-44
222,222,2013-06-23,Scotiabank Vancouver Half Marathon,Half Marathon,02:05:17,M35-39
223,223,2013-09-22,Marathon Oasis de Montreal,Marathon,03:14:23,M30-34
224,224,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:25:12,M40-44
225,225,2012-09-23,Marathon Oasis de Montreal,Marathon,04:37:47,F45-49
226,226,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:28:13,M45-49
227,227,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:09:41,F35-39
228,228,2013-09-22,Marathon Oasis de Montreal,Marathon,03:57:47,M25-29
229,229,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:25:49,M35-39
230,230,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:48:35,M25-29
231,231,2012-10-07,La Petite Derniere,5.5 km,00:21:05,M18-
232,232,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:14:20,M18-24
233,233,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:39:51,M40-44
234,234,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:05:02,M15-17
235,235,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:13:35,F25-29
236,236,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,02:42:41,F50-54
237,237,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,03:00:36,M45-49
238,238,2013-09-22,Marathon Oasis de Montreal,Marathon,05:01:38,M50-54
239,239,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:58:03,M40-44
240,240,2014-06-15,Mud Hero Montreal,6 KM MUD RUN AND OBSTACLE COURSE,01:21:42,F35-39
241,241,2013-09-22,Marathon Oasis de Montreal,Marathon,04:26:59,M30-34
242,242,2012-09-23,Marathon Oasis de Montreal,Marathon,04:36:51,M50-54
243,243,2012-09-23,Marathon Oasis de Montreal,Marathon,03:35:13,M50-54
244,244,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:44:34,M35-39
245,245,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:24:39,M18-24
246,246,2014-06-15,Tour du Lac Brome,20 km route,01:44:31,F20-29
247,247,2015-09-13,Triathlon Esprit de Montreal,Triathlon Olympique,02:39:00,M40-44
248,248,2015-11-08,DEMI-MARATHON DES MICROBRASSERIES,21 KM,02:03:07,F40-49
249,249,2016-06-27,Ironman 70.3 Mont-Tremblant,Individuel,06:27:57,F30-34
250,250,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:12:14,F25-29
251,251,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Demi-Marathon,02:55:52,M50-54
252,252,2013-09-22,Marathon Oasis de Montreal,Marathon,04:14:24,F40-44
253,253,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:54:23,M45-49
254,254,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:51:46,M30-34
255,255,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:30:44,M18-24
256,256,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:09:50,M40-44
257,257,2015-08-23,Demi-Marathon Bonneville de Lachine,21.1 km,01:59:27,F40-49
258,258,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:53:17,M50-54
259,259,2016-04-24,Banque Scotia 21K de Montreal,Demi Marathon,-1,M40-44
260,260,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:44:14,M18-24
261,261,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,06:40:33,F50-54
262,262,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:50:28,M45-49
263,263,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:51:46,M18-24
264,264,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,05:06:32,M30-34
265,265,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:01:55,M35-39
266,266,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:46:59,M60-64
267,267,2013-09-22,Marathon Oasis de Montreal,Marathon,-1,M40-44
268,268,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,06:02:37,M15-17
269,269,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:30:40,M25-29
270,270,2016-07-15,Demi-Marathon de la Bande du Canal,Demi-marathon,01:46:42,M40-49
271,271,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,03:53:40,M30-34
272,272,2015-10-04,Classique Emilie-Mondor,10 km,00:44:20,M30-39
273,273,2016-07-09,Course d'un soir d' ete de Longueuil,10 km,00:51:56,M60-69
274,274,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:04:26,M18-24
275,275,2013-09-22,Marathon Oasis de Montreal,Marathon,-1,M60-64
276,276,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,Marathon,04:54:23,F50-54
277,277,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,05:05:46,M50-54
278,278,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,03:18:08,M35-39
279,279,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Demi-Marathon,01:34:21,M40-44
280,280,2013-09-22,Marathon Oasis de Montreal,Marathon,04:20:40,M50-54
281,281,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,Marathon,04:22:17,M30-34
282,282,2016-08-28,Marathon SSQ Lévis-Québec,Marathon,-1,M40-44
